port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Torshavn - Toftir,25,10,1988,1991,1989,1991,32658520,26784674,1642,3775,2234,1581,63,4731
Torshavn - Strendur,8,4,1998,2004,2006,2005,8660342,6783661,432,2219,848,531,7,558
Toftir - Hoyvik,5,4,1998,2001,2003,2000,1008427,943858,122,237,141,112,1,107
Toftir - Runavik,49,11,1999,1988,2004,2006,45332312,44442451,287,1287,434,406,35,2593
Runavik - Hoyvik,11,7,1998,1996,2009,2009,8630112,7211972,123,719,398,302,7,497
Runavik - Strendur,22,7,1993,1987,2004,2007,14048606,13006608,261,560,324,310,12,873
Strendur - Hoyvik,1,1,1989,1989,1989,1989,97962,161414,371,371,371,371,0,18
Runavik - Torshavn,34,13,2001,1999,2004,2003,46796040,41426539,338,2354,777,598,46,3464
Fuglafjordur - Nolsoy,3,3,1998,1998,2003,2002,6080899,5316457,346,1366,741,515,5,353
Nolsoy - Vagur,5,3,1995,1999,1991,1991,22561404,19638053,461,675,968,871,5,359
Klaksvik - Toftir,12,10,1987,1992,2008,2008,52387587,47683318,510,2360,2459,2116,25,1855
Vagur - Fuglafjordur,18,8,2003,2000,2010,2009,33808197,22239571,461,642,995,785,25,1869
Fuglafjordur - Runavik,49,28,1991,1993,1991,1992,1009736900,557744658,2452,4457,5697,4992,208,15845
Eidi - Leirvik,3,2,1996,1992,1992,1984,2639579,2377139,428,3058,778,520,12,929
Klaksvik - Vagur,21,11,1985,1985,1986,1988,24660712,15367857,872,1739,1394,1216,26,1945
Klaksvik - Torshavn,12,8,1985,1986,1994,1994,17625814,12395610,1182,1759,1276,990,14,1018
Torshavn - Tvoroyri,42,12,1997,1992,2004,2003,1194954694,268534103,2346,2308,4003,3066,394,30191
Tvoroyri - Klaksvik,7,4,1989,1989,1990,1990,4036734,1591564,828,1213,1294,1207,9,642
