port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Lautoka - Suva,264,56,2004,2004,2005,2005,590717798,523934080,132,479,152,142,201,15304
Nadi - Suva,57,29,2005,2007,2001,2009,292622536,217436438,142,155,153,138,127,9749
Malau (Labasa) - Nadi,15,2,2007,2008,2008,2008,12559539,18148668,260,265,353,355,14,1092
Lautoka - Malau (Labasa),43,9,2009,2011,2010,2010,49767429,71844353,245,204,216,212,51,3892
Lautoka - Yasawa Island,17,4,2011,2002,1991,1997,14971495,1914017,91,110,145,124,7,502
Suva - Nambouwalu,12,5,2003,2005,2009,2008,8198929,10797527,233,1745,1617,2109,41,3096
Nambouwalu - Malau (Labasa),8,4,2007,2010,2001,2005,773868,387235,69,73,65,69,2,166
Malau (Labasa) - Rabi,20,4,2011,2010,2005,2009,2591269,1585421,152,160,146,147,7,553
Malau (Labasa) - Suva,28,5,2013,2012,2013,2013,44816130,51678893,299,274,450,433,43,3253
Suva - Levuka,19,8,1997,1997,1997,1999,4393060,4120520,112,163,132,137,32,2409
Levuka - Nambouwalu,1,1,2014,2014,2014,2014,35782,30221,73,73,73,73,0,10
Lautoka - Vatulele,2,1,2014,2014,2014,2014,70067,59177,72,72,72,72,1,49
Nambouwalu - Lautoka,1,1,2014,2014,2014,2014,75564,63820,155,155,155,155,1,71
Lautoka - Labasa,3,1,2014,2014,2014,2014,223552,188808,131,131,152,152,1,109
Labasa - Malau (Labasa),1,1,2014,2014,2014,2014,72445,61185,148,148,148,148,0,26
Malau (Labasa) - Levuka,1,1,2014,2014,2014,2014,70530,59568,144,144,144,144,0,10
Ellington Wharf - Yasawa Island,1,1,2005,2005,2005,2005,198221,203231,53,53,53,53,0,7
Yasawa Island - Nadi,1,1,2005,2005,2005,2005,293849,301275,78,78,78,78,0,15
Suva - Rabi,11,6,1989,1990,1984,1993,7061368,2778452,216,338,224,306,7,554
Vatulele - Suva,5,4,2006,2005,2009,2008,11733656,7489250,7640,4784,186,238,9,696
Suva - Turtle Island,1,1,2008,2008,2008,2008,998319,308381,5227,5227,5227,5227,2,127
Turtle Island - Vatia Wharf,1,1,2008,2008,2008,2008,26033,8042,136,136,136,136,0,6
Vatia Wharf - Suva,1,1,2008,2008,2008,2008,59984,18529,314,314,314,314,5,361
Vanua Mbalavu - Lautoka,2,1,2003,2003,2003,2003,2920743,489723,367,367,367,367,1,112
Mana Island - Suva,1,1,2010,2010,2010,2010,61607,20167,276,276,276,276,1,84
Yasawa Island - Nambouwalu,1,1,2007,2007,2007,2007,3769335,4660777,94,94,94,94,1,43
Suva - Moala,56,3,1990,2003,1988,1990,23449437,17599583,303,410,476,494,44,3298
Moala - Vanua Mbalavu,7,2,2015,2014,2015,2015,1397922,1295949,449,340,402,393,5,356
Vanua Mbalavu - Cicia,15,3,1989,2003,1988,1989,1320155,959114,80,73,99,101,2,157
Cicia - Suva,20,3,1985,2003,1982,1983,5335338,3698580,148,189,280,277,7,530
Vanua Mbalavu - Suva,25,4,1996,2004,1991,1994,11847209,9473581,276,479,614,628,19,1449
Turtle Island - Nadi,140,2,1997,1997,1997,1996,41612784,10838230,122,125,142,147,191,14328
Nadi - Mana Island,5,2,1997,1997,1997,1996,979290,182109,112,111,98,77,5,386
Mana Island - Turtle Island,8,2,1998,1997,1998,1997,1169392,126155,75,75,98,86,7,502
Turtle Island - Lautoka,7,4,1992,1992,1995,1989,1615702,413342,109,174,192,114,15,1089
Nadi - Levuka,8,2,1996,1997,1996,1996,7667670,2687010,134,120,331,343,12,883
Levuka - Rabi,1,1,1998,1998,1998,1998,178328,7088,142,142,142,142,1,50
Rabi - Savusavu,98,4,1967,1984,1967,1967,26165481,6167147,53,63,55,56,14,1070
Savusavu - Turtle Island,1,1,1998,1998,1998,1998,173153,6882,138,138,138,138,1,62
Momi - Suva,3,3,2010,2010,2011,2010,7926712,10918042,126,8793,260,214,16,1212
Suva - Singatoka,5,3,2007,2005,2013,2013,4006118,4281498,1924,4571,3228,2409,8,566
Savusavu - Suva,297,7,1968,1993,1976,1973,315532496,64916588,125,160,168,167,155,11662
Savusavu - Lautoka,3,2,1998,2000,1999,1999,67752220,7786274,248,249,250,250,16,1222
Lautoka - Mana Island,2,1,1996,1996,1996,1996,156818,222122,222,222,222,222,4,285
Turtle Island - Maolo Lailai Island,2,1,1996,1996,1996,1996,41127,58253,58,58,58,58,1,58
Maolo Lailai Island - Lautoka,9,1,1996,1996,1996,1996,806099,1141783,175,175,254,254,17,1268
Lautoka - Rabi,1,1,1996,1996,1996,1996,591290,210405,189,189,189,189,1,44
