int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Suva,354,169,2004,2004,2006,2008,12185218361,9138091441,1169,4379,1759,1894,2214,170067
Lautoka,174,56,2005,2005,2007,2008,3049530051,3314360058,718,1546,1209,1355,590,45444
Nambouwalu,6,6,2005,2005,2005,2005,1011196937,1244067837,4297,4276,4270,4268,70,5408
Nadi,79,33,2009,2008,2010,2011,2809420637,4181395448,1160,1978,2171,2487,483,37240
Malau (Labasa),24,8,2011,2011,2012,2012,500519731,772574473,508,2421,2608,2801,67,5131
Ellington Wharf,1,1,2005,2005,2005,2005,2130744,2184593,567,567,567,567,1,70
Vatulele,3,3,2003,2003,2008,2007,217372559,79631039,4033,3168,3480,2569,14,1120
Mana Island,1,1,2010,2010,2010,2010,1746844,571837,7833,7833,7833,7833,2,169
Vanua Mbalavu,2,2,2004,2004,2005,2005,4140131,5559551,3977,3977,944,4064,1,79
Levuka,2,2,1992,1992,1990,1990,33996009,38717004,6758,6758,6772,6675,33,2479
Yasawa Island,2,2,1996,1996,2003,2007,190485983,197047191,2337,2337,2249,3641,19,1463
Wairiki,1,1,2002,2002,2002,2002,5218734,2618895,16058,16058,16058,16058,10,728
Turtle Island,1,1,1998,1998,1998,1998,49938,1985,40,40,40,40,1,69
Momi,2,2,2012,2012,2009,2009,1421416,465913,3579,3579,3993,1974,2,184
Savusavu,13,4,2006,1998,2004,2009,70874381,46011937,581,418,502,556,19,1474
Rabi,1,1,2015,2015,2015,2015,2351622,1016632,1759,1759,1759,1759,2,133
Singatoka,1,1,1997,1997,1997,1997,74878,20764,629,629,629,629,0,14
Maolo Lailai Island,2,2,2008,2008,2008,2008,37390152,61123292,4161,4161,1234,1202,5,395
Vatia Wharf,1,1,1990,1990,1990,1990,178565694,328020201,4658,4658,4658,4658,8,656
