int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,189,32,2005,2007,2007,2007,3086375435,3992839900,1143,1201,1096,1095,637,49098
Cruise,51,32,1999,2000,1999,1999,3418500069,326637496,761,726,974,940,735,56900
Vehicle,28,24,2007,2007,2007,2007,3937726428,1246383634,3655,2943,2884,2909,268,20760
Service - other,11,10,2004,2003,2012,2011,579423896,197837868,1188,3072,4674,3623,170,13003
Service - tug,21,11,1988,1988,2016,2015,42215051,37723765,833,1898,3553,3806,17,1296
Bulk carrier,32,30,2008,2008,2007,2007,3105950139,4512217810,4101,3597,3711,3664,264,20429
Chemical tanker,105,23,2011,2012,2013,2013,3698018840,6117250611,623,2419,2491,2518,556,42940
Liquefied gas tanker,48,6,2010,2010,2010,2010,292017151,300706237,1469,1616,1376,1382,129,9869
General cargo,75,17,2004,2004,2005,2006,1009338956,1203943694,1165,1780,1227,1285,180,13819
Miscellaneous - fishing,86,47,2006,2003,2003,2002,280184006,214429628,7818,10361,8967,8784,359,26955
Oil tanker,12,9,2008,2009,2008,2008,757253689,1151267471,1164,2980,2433,2403,120,9290
Ro-Ro,3,3,2008,2008,2014,2013,844476,808631,782,577,632,567,10,747
Refrigerated bulk,3,3,1989,1989,1997,1996,91133622,110682826,12373,11882,12187,12225,68,5168
Ferry-RoPax,5,5,1980,1980,1981,1984,2619604,734837,46,607,199,199,27,1991
Ferry-pax only,1,1,2016,2016,2016,2016,103440,15686,424,424,424,424,1,60
