int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Service - tug,21,11,1988,1988,2013,2011,61541062,67842334,697,5441,5180,6845,35,2608
Cruise,51,32,1999,2000,2000,2000,4496823016,425329862,796,916,1281,1223,952,73700
Service - other,11,10,2004,2003,2001,1999,561237556,225010031,2681,3749,4528,4120,326,25074
Container,189,32,2005,2007,2006,2006,4741708820,6184959974,1207,1616,1685,1696,892,68805
Chemical tanker,105,23,2011,2012,2012,2012,2945061099,4878118687,656,2246,1984,2008,448,34572
Bulk carrier,32,30,2008,2008,2007,2007,2659426458,3845702199,1641,2911,3178,3122,235,18217
Liquefied gas tanker,48,6,2010,2010,2010,2010,252572486,258998805,744,961,1190,1190,111,8509
Ro-Ro,3,3,2008,2008,2014,2014,2640233,2680530,622,1782,1975,1880,22,1680
Miscellaneous - fishing,85,47,2006,2003,1999,1997,276707301,212764144,7589,9619,8929,8808,290,21759
General cargo,75,17,2004,2004,2004,2004,856431396,1037675444,650,1744,1041,1108,152,11719
Oil tanker,12,9,2008,2009,2008,2008,669602378,1001986219,821,3175,2151,2092,105,8097
Vehicle,28,24,2007,2007,2007,2007,3303628783,1036297460,1212,2524,2420,2419,252,19499
Refrigerated bulk,3,3,1989,1989,1989,1988,70455736,84454917,9077,10316,9422,9328,53,4019
Ferry-RoPax,5,5,1980,1980,1998,2001,996307,319419,10,100,76,86,16,1227
Ferry-pax only,1,1,2016,2016,2016,2016,103171,15645,423,423,423,423,0,10
