int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Kotka,894,337,2007,2005,2008,2008,7230626344,9762764537,458,808,677,710,1709,128411
Oulu,316,102,2004,2005,2005,2005,5081452271,4762349376,1016,941,1140,1140,1425,106783
Tessvar,20,6,1998,1999,1999,1999,217307402,344663529,1312,1415,1352,1380,73,5480
Vestlax,3,3,1998,1998,1999,1999,30055784,46961650,1310,1196,1257,1269,11,790
Lakulahti,357,199,2003,2004,2006,2006,1914298661,2692573058,458,724,843,840,596,44657
Kilpilahti (Skoldvik),871,229,2005,2007,2008,2008,9675949177,15277046319,446,803,642,641,2538,190844
Raahe,128,28,1996,2005,2007,2008,348603097,459538350,95,558,429,468,109,8159
Kokkola,406,192,2005,2005,2010,2011,4278882887,7105143049,658,866,1101,1144,802,60422
Kallviken,263,93,2004,2005,2007,2007,877239023,1358015808,97,319,154,148,210,15820
Hanko,1054,95,2004,2000,2007,2007,12173133713,6592532541,527,505,551,555,3095,230774
Rauma,769,229,2001,2002,2002,2003,4788365472,5530492191,485,708,695,702,1430,107661
Helsinki,1138,110,1994,1997,2000,2002,20591696264,2469964313,259,625,385,399,4418,327248
Uusikaupunki,543,155,2005,2002,2010,2010,5392447377,3275768661,597,760,607,657,1257,94443
Porkkala,121,71,1999,2000,2009,2009,444020159,643037129,304,681,923,951,141,10626
Hamina,186,88,1999,2002,2003,2004,331840959,452456147,420,498,554,565,115,8646
Tahkoluoto,79,66,2002,2001,2010,2010,954402833,1687421442,400,724,1007,1052,125,9453
Naantali,1054,134,2000,2001,2003,2003,4735887213,2680102920,123,603,155,255,1024,76872
Pietarsaari,156,84,2002,2002,2004,2005,719235238,988304061,628,722,786,800,209,15709
Sunila,592,130,2002,2000,2005,2004,3554890042,2562529003,350,485,456,471,1176,88290
Rahja,137,81,2002,2002,2006,2006,487822317,683905105,659,649,655,662,140,10549
Loviisa,139,72,2001,2001,2006,2006,333690490,483893114,341,482,496,488,97,7249
Turku,908,118,2001,1994,2004,2005,7490058791,1454523986,170,527,240,312,1361,100608
Mariehamn,644,31,1994,1991,1992,1994,3037102678,354575740,86,194,122,136,654,49083
Mantyluoto,217,148,2004,2005,2009,2009,1604613382,2284296942,767,904,1292,1310,495,37517
Ajos,165,81,2003,2004,2000,2003,1389970252,1424713818,979,943,903,881,401,30103
Veitsiluoto,52,39,2003,2003,2003,2003,211075600,303292186,837,910,946,950,64,4771
Vuosaari,1355,123,2005,2005,2006,2006,19541105811,10767517830,623,638,613,610,5241,393010
Lapaluoto,269,79,1998,2003,2005,2005,606080237,790994574,176,528,577,605,212,15930
Roytta,402,140,2004,2006,2005,2005,2551617026,3359176220,1206,1401,1229,1226,843,63081
Inkoo,332,127,1996,2000,2004,2004,610642761,854448188,163,503,463,481,201,14855
Mustola,385,52,1994,1994,1998,1999,605480990,917194006,582,604,798,897,140,10549
Hirvensalmi,4,3,1986,1987,1988,1988,1821302,2217900,311,395,317,339,1,46
Pargas,28,10,1998,2002,2004,2009,251309577,185696932,174,1319,285,766,47,3536
Pori,98,56,2005,2004,2008,2007,762206265,1015156424,822,767,884,886,223,16146
Olkiluoto,62,47,1998,1998,2000,2000,99935232,138010983,584,579,566,579,33,2507
Suomenlinna (Sveaborg),47,16,1995,1989,2013,2013,2736974311,334613018,262,674,1507,1664,474,30589
Marsund,88,19,1997,1996,1991,1995,647621230,206559287,76,1771,176,475,183,13756
Korrvik,191,16,2003,1990,2008,2008,2426776045,264246033,93,317,291,290,363,24446
Vuosnainen,13,13,1998,1998,2009,2011,81738522,58970065,575,2206,1433,942,45,3411
Vasklot (Vaskiluoto),223,71,1991,2000,1994,2002,1032326764,789423664,502,858,440,680,325,24117
Kesalahti,2,1,1981,1981,1981,1981,904515,1143226,180,180,180,180,0,31
Kaskinen,254,97,1995,2000,1993,1997,1096116935,1056129374,481,557,657,664,222,16646
Klamila,76,68,2002,2001,2007,2008,493005865,770245849,115,366,468,486,70,5227
Vuoksen Terminal,64,21,2001,2000,2003,2004,30880087,43259825,159,375,255,251,13,971
Asikkala,26,18,1991,1992,1994,1994,8838941,12454452,128,199,203,208,26,1963
Kantlax,11,10,2001,2002,2002,2003,41192680,54693803,322,798,626,695,14,1043
Tervsund,82,16,1996,1994,1998,1998,76511851,105240731,202,549,356,352,28,2100
Vartsala,3,3,1976,1976,1958,1967,493955,299968,99,735,402,206,3,252
Lovbole,14,8,1989,1989,1991,1991,22777019,29460010,973,783,843,816,9,650
Skinnarvik,3,3,2000,2000,2001,2001,6203430,8704780,973,839,819,813,2,138
Reposaari,8,5,1985,1987,1989,1996,3209911,2346682,678,700,512,358,6,455
Kasnas,45,11,1981,1987,1988,1991,12449491,9278565,236,1015,651,549,18,1382
Tvarminne,5,5,1992,1992,2010,2008,9688099,10740237,222,325,295,222,3,179
Tolkkinen,40,34,2003,2002,2002,2003,453540386,710954696,360,614,748,781,83,6221
Koverhaara (Koverhar),25,10,2003,2006,2004,2004,49160339,68243115,293,879,538,530,26,1915
Farjsundet,31,12,2002,2003,2003,2002,38070588,48560526,210,397,299,295,13,957
Harvaluoto,14,9,1992,1992,2006,2006,100549187,64995466,106,735,305,767,17,1187
Hiitinen,3,3,2013,2013,2017,2017,16467228,27526088,214,206,216,220,2,156
Ekenas,5,3,1998,1997,1999,1999,12319196,18354374,627,846,945,944,19,1457
Kalkkiranta,8,5,1999,1999,2003,2004,18066545,28260622,269,861,739,807,6,444
Korpo (Korppoo),14,11,1991,1992,1998,2001,19328402,7861224,434,1146,252,326,24,1773
Kirkniemi,1,1,2019,2019,2019,2019,5568262,6969620,845,845,845,845,141,10605
Snappertuna,20,7,2000,2000,2000,2000,37149682,53925962,593,496,657,657,14,1070
Parhalahti,1,1,2012,2012,2012,2012,419723,627786,120,120,120,120,0,8
Dalsbruk (Taalintehdas),9,8,1995,1994,2001,2002,19944260,27035500,1444,1162,1083,1067,11,859
Nagu (Nauvo),8,7,1989,1989,1994,1990,43747603,32794818,422,3038,908,1164,30,2244
Houtskar (Houtskari),3,2,1968,1968,1968,1968,163907,82610,164,198,200,180,0,28
Rouhu,11,5,1974,1976,1974,1972,1961659,1042834,386,485,555,555,5,391
Jussaro,19,10,1995,1994,2008,2007,10407969,7229542,130,156,143,135,9,673
Tojby,1,1,1989,1989,1989,1989,338082,208626,172,172,172,172,0,12
Kojonkulma,1,1,2009,2009,2009,2009,770160,511840,800,800,800,800,3,246
Kristinestad,7,5,2001,2001,2001,2001,3634723,4571830,137,162,140,141,1,98
Degerby,2,2,1994,1994,2010,2011,4758254,6565471,171,171,193,194,1,44
Nykarleby,1,1,2005,2005,2005,2005,78399,117638,26,26,26,26,0,2
Sando (Santasaari),4,3,1993,1993,1993,1993,10595734,14092959,1211,1134,1090,1091,3,241
Lielax,1,1,1982,1982,1982,1982,3150,508,25,25,25,25,6,413
Luumaki,1,1,1987,1987,1987,1987,429729,110187,3673,3673,3673,3673,2,122
Kaipola,1,1,1978,1978,1978,1978,69646752,78271402,18043,18043,18043,18043,3,239
Varjakka,2,2,1994,1994,1999,2000,1706740,2180318,286,286,395,433,1,74
Baronsalmi,1,1,1979,1979,1979,1979,12728359,13503063,944,944,944,944,2,179
Hogsara,1,1,1974,1974,1974,1974,114257,62467,295,295,295,295,0,20
Ruovesi,1,1,2012,2012,2012,2012,7072720,8885058,1244,1244,1244,1244,1,96
Lappohja (Lappvik),1,1,2014,2014,2014,2014,3382613,4734704,530,530,530,530,2,138
Nousiainen (Nousis),1,1,2008,2008,2008,2008,60451122,113964716,1081,1081,1081,1081,5,358
Taivassalo (Tovsala),1,1,1987,1987,1987,1987,218108,94019,547,547,547,547,0,29
