int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,1445,295,2005,2007,2007,2007,10413289832,15737361304,593,791,748,757,3446,257913
General cargo,4937,778,2001,2003,2004,2004,16221674092,22159762012,479,817,726,724,4740,356967
Service - other,90,43,1990,1991,1995,1994,359691177,297702980,255,1232,799,1200,272,19965
Vehicle,221,22,2006,2004,2011,2011,2578326255,945054671,445,404,509,523,303,21176
Service - tug,383,76,1981,1983,1986,1985,77864275,36977512,137,386,233,259,203,15218
Cruise,600,75,2004,1999,2006,2006,5552722024,597665070,120,244,193,188,1369,102803
Oil tanker,286,57,1996,2005,2008,2008,5884710870,9913602540,170,895,593,592,1060,79814
Container,1457,111,2006,2006,2007,2007,11361403830,13540853154,484,627,566,577,3217,240967
Bulk carrier,414,212,2008,2010,2011,2011,7195712879,12367340258,338,713,714,711,974,73640
Ferry-RoPax,3262,48,1997,1993,2002,2003,44409041074,6397128444,169,1870,320,334,8961,659018
Liquefied gas tanker,180,32,2006,2009,2012,2012,1232446845,1231489006,601,944,815,795,382,27923
Ro-Ro,1991,46,2004,2001,2005,2005,26963171204,15195194185,586,705,607,621,7481,561704
Miscellaneous - fishing,130,28,1980,1984,1983,1983,36006003,19924052,294,1197,837,818,84,6333
Offshore,125,25,2007,2003,1997,1993,347767388,360888802,97,1178,356,392,183,13708
Ferry-pax only,13,5,1968,1966,1969,1968,1957891,431857,207,494,461,452,27,1996
Refrigerated bulk,6,6,1997,1997,2002,2004,19403310,19739921,639,556,547,562,148,11139
Yacht,1,1,1958,1958,1958,1958,181167,311421,702,702,702,702,0,0
