int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,1445,295,2005,2007,2007,2007,12893050907,19774387862,681,997,926,951,3676,275908
General cargo,4937,778,2001,2003,2005,2005,17373589009,24015277493,508,819,778,785,4951,373130
Service - other,90,43,1990,1991,1994,1997,239902967,159603186,302,590,533,643,183,13613
Vehicle,221,22,2006,2004,2007,2007,3458050822,1180338171,895,956,682,653,475,34920
Service - tug,383,76,1981,1983,1985,1984,63592205,29958923,149,338,191,210,175,13157
Cruise,601,75,2004,1999,2006,2005,6446751924,689965989,98,280,223,216,1847,138688
Oil tanker,286,57,1996,2005,2008,2008,3257012750,5359896081,153,536,328,320,783,58838
Container,1457,111,2006,2006,2006,2006,14764791248,17376660127,747,732,736,741,3810,285634
Bulk carrier,414,212,2008,2010,2011,2011,18975569671,32961620134,642,2270,1882,1895,2000,152243
Ferry-RoPax,3263,49,1997,1993,2000,2001,36149836232,5394027985,168,3014,261,282,7127,527627
Liquefied gas tanker,180,32,2006,2009,2012,2012,1223167604,1218197709,633,857,809,787,364,26517
Ro-Ro,1991,46,2004,2001,2006,2005,29189834630,16436756523,586,865,657,672,7781,584415
Offshore,125,25,2007,2003,2007,2004,300600594,261925945,97,589,308,284,140,10477
Miscellaneous - fishing,130,28,1980,1984,1981,1982,51935865,28409732,313,1499,1208,1166,129,9713
Ferry-pax only,13,5,1968,1966,1978,1975,3278324,572037,231,3588,773,599,29,2158
Refrigerated bulk,6,6,1997,1997,1997,1998,14838336,14268706,252,404,418,406,15,1156
Yacht,1,1,1958,1958,1958,1958,31171,53582,121,121,121,121,0,0
