int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Cristobal,867,606,2006,2007,2012,2011,79368283222,103928916355,1411,2428,2526,2466,10449,800153
Rodman,318,241,2004,2006,2009,2009,15448433045,18830822880,938,2387,1372,1355,2507,192067
Taboguilla,1495,1163,2009,2009,2010,2010,119561265516,184719156330,1672,2555,2505,2504,14609,1114132
Puerto Armuelles,79,57,2010,2010,2011,2011,31036216193,59342443672,2777,4187,5038,5106,2820,216762
Balboa,404,219,2006,2006,2007,2007,53880178259,62202689445,854,2701,2497,2450,6901,533503
Manzanillo,656,482,2006,2006,2011,2011,60869061695,69850737084,958,2682,3229,3221,7534,563644
Puerto Colon,303,147,2007,2006,2007,2008,9921171610,10743754051,428,1310,965,937,1542,119049
Las Minas,153,99,2006,2008,2009,2010,5175891111,7474207228,1355,1387,1579,1506,744,57066
Bocas Del Toro,10,7,1996,1991,1998,1995,107953619,15729248,354,523,459,330,27,2077
Chriqui Grande,119,67,2009,2009,2009,2009,7038500161,12861472463,657,1228,1065,1058,828,64086
Ancon,107,91,2003,2003,2006,2007,2961269604,4214444871,1415,2018,1910,1870,643,49094
Portobelo,18,18,1998,1998,1993,1993,501914819,639885400,1187,1777,1310,1429,138,10562
Tocumen,1,1,2003,2003,2003,2003,78216360,25274657,1327,1327,1327,1327,5,363
Panama,6,6,2003,2003,2006,2008,210821486,193546297,1629,1588,1576,1532,27,2095
Bayano,5,5,2009,2009,2007,2008,150644106,241792312,3313,2562,2611,2590,39,2991
Pedregal,15,15,2008,2008,2009,2009,543135082,981649413,521,784,880,898,84,6491
Melones,48,35,2003,2003,2006,2006,1613434595,2563771009,669,2200,1361,1319,397,30569
Charco Azul,31,27,2010,2010,2012,2012,6961454879,13187573562,2711,3849,3881,3943,653,50415
Garachine,3,2,1998,2002,2004,2003,1549875,394333,503,520,527,519,1,90
Contadora,7,7,1995,1995,1989,1992,607421864,231690985,534,2647,6423,2886,108,8223
La Palma,1,1,1991,1991,1991,1991,289798,82984,430,430,430,430,1,53
Boca Chica,18,5,1989,1993,2001,2007,106744971,140529118,149,291,479,668,15,1179
Vacamonte,28,20,1985,1988,1986,1987,212327824,204753699,2941,7661,2834,2112,203,15305
Almirante,45,9,1994,1998,1990,1990,2114038837,2416268399,4943,3012,3693,3747,697,53168
Santa Clara,2,2,1998,1998,2005,2012,1808823,929002,517,517,533,561,7,561
Panama Canal,6,3,2005,2006,2003,2003,20121015,31748489,123,588,151,157,23,1772
Puerto Caimito,1,1,1982,1982,1982,1982,541051,595106,496,496,496,496,1,55
Achutupu,2,2,1986,1986,1990,1990,2080539,2353372,217,217,151,156,2,149
Canazas,3,1,2008,2008,2008,2008,225573,67672,488,488,537,537,3,214
