port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Lorient - La Pallice,39,20,2004,2002,2004,2006,35443592,47361188,169,296,203,200,21,1592
La Pallice - Bouteville,31,25,2006,2006,2009,2010,63072369,89917790,149,315,201,188,19,1435
Bouteville - Cussac Fort- Edoc,12,12,2006,2006,2008,2008,27245394,40569223,224,226,282,285,6,482
La Pallice - Val-De-La-Haye,8,8,2008,2008,2010,2010,69968634,113715732,591,586,591,591,14,1071
Sein - Montoir,2,2,1998,1998,1998,1998,637406,890659,165,165,159,160,0,14
Le Havre - Fos Sur Mer,88,49,2005,2005,2005,2005,12391554669,13869247352,1929,1943,1943,1942,1488,114838
Dunkerque Est - Etaples,1,1,2009,2009,2009,2009,50664166,54776088,331,331,331,331,4,307
Etaples - Saint-Valery-En-Caux,2,2,2002,2002,2009,2009,56106861,60619747,279,279,365,365,5,352
Saint-Valery-En-Caux - Le Havre,7,6,2008,2006,2008,2008,32426452,36450722,192,299,195,197,6,458
Saint-Desirat - Saint Louis Du Rhone,28,7,1990,1992,1993,1993,11571924,14881765,150,352,296,305,4,333
Saint Louis Du Rhone - Cavalaire-Sur-Mer,1,1,1986,1986,1986,1986,102969,126016,78,78,78,78,0,2
Saint Louis Du Rhone - Pujaut,19,5,1989,1990,1988,1988,2363735,2890681,58,80,92,90,1,87
Pujaut - Saint-Desirat,8,4,1992,1992,2000,2000,3096876,3784130,104,305,294,289,1,78
Beaucaire - Pont-De-L'Isere,6,4,1990,1990,1992,1992,882663,1142089,84,124,111,111,0,29
Pont-De-L'Isere - Pujaut,9,4,1990,1988,1991,1991,949060,1201724,67,83,74,74,0,25
Saint Louis Du Rhone - Mirabel,18,5,1988,1988,1988,1988,2673704,3336081,95,109,112,111,1,82
Mirabel - Saint-Desirat,12,2,1986,1984,1985,1985,801083,1016214,47,61,53,53,0,27
Saint-Desirat - Villeneuve-Les-Avignon,13,7,1990,1994,1994,1994,2169971,2752862,92,147,123,125,1,61
Villeneuve-Les-Avignon - Saint Louis Du Rhone,18,7,1988,1987,1987,1987,1959553,2621174,45,153,82,87,1,72
Saint Louis Du Rhone - Saintjean Cap Ferrat,1,1,1986,1986,1986,1986,175762,215101,133,133,133,133,0,4
Marseille - Villeneuve-Les-Avignon,1,1,1986,1986,1986,1986,133873,163837,102,102,102,102,0,2
Villeneuve-Les-Avignon - Pont-De-L'Isere,9,4,1991,1988,1989,1989,1740617,2395831,99,254,138,145,1,46
Pont-De-L'Isere - Mirabel,2,2,1991,1991,1992,1992,256698,325276,87,87,88,88,0,10
Entressen - Cairanne,9,7,1992,1994,1993,1993,1090869,1409067,99,96,93,94,0,32
Cairanne - Saint Louis Du Rhone,11,5,1988,1991,1987,1987,1149171,1494848,71,74,84,84,1,40
Villeneuve-Les-Avignon - Mirabel,2,2,1986,1986,1987,1987,503786,586910,180,180,185,181,0,11
Saint Louis Du Rhone - Les Angles,3,2,1985,1985,1985,1985,487574,642005,84,164,147,139,0,11
Cairanne - Saint-Desirat,7,3,1987,1988,1988,1988,896758,1094406,69,113,95,95,0,26
Saint Louis Du Rhone - Pont-De-L'Isere,22,8,1991,1992,1991,1991,4550869,5764984,132,158,148,147,2,135
Pont-De-L'Isere - Chamblanc,3,2,1992,1994,1990,1991,544910,678818,151,118,125,124,0,23
Pont-De-L'Isere - Seyssuel,5,3,1994,1993,1996,1996,2362211,3005220,55,345,348,347,1,78
Seyssuel - Saint-Desirat,2,2,1996,1996,1998,1998,307937,372334,106,106,107,107,0,8
Saint-Desirat - Vallabregues,2,2,1986,1986,1987,1987,182490,216910,67,67,67,67,0,5
Mezoargues - Saint-Desirat,1,1,1986,1986,1986,1986,153239,187538,116,116,116,116,0,4
Saint-Desirat - Verjux,1,1,1986,1986,1986,1986,150362,184016,114,114,114,114,0,5
Verjux - Lyon,1,1,1986,1986,1986,1986,94265,115363,72,72,72,72,0,2
Beaucaire - Anse,2,2,1996,1996,1991,1991,276658,336948,101,101,96,97,0,6
Anse - Pagny-La-Ville,1,1,1986,1986,1986,1986,102015,124848,77,77,77,77,0,3
Pagny-La-Ville - Lyon,2,2,1991,1991,1991,1992,285122,360134,98,98,98,98,0,8
Lyon - Pujaut,5,4,1986,1987,1984,1984,3041258,4330153,164,710,558,583,1,74
Port De Bouc - Lavera,184,18,2003,2006,2005,2006,42698878,48870514,218,161,215,189,164,12350
Cabourg - Grand Couronne,180,141,2007,2007,2006,2006,111534767,176482304,70,76,84,86,64,4835
Cherbourg - Ouistreham,12,8,2004,2004,2000,2003,24950167,5177220,178,448,137,116,21,1553
Port De Bouc - La Peyrade,3,2,2004,2003,2004,2004,3664011,5552220,77,74,73,73,4,304
La Peyrade - Fos Sur Mer,9,9,2006,2006,2009,2009,21817402,34221454,94,128,135,135,9,714
Brest - Bayonne,16,15,2005,2005,2006,2006,26188418,39186148,349,361,365,366,8,633
Cabourg - Dieppedalle,140,121,2006,2005,2008,2008,82070720,126824311,75,78,81,81,43,3224
Cabourg - Rouen,117,91,2005,2005,2007,2007,79112760,121603004,76,81,78,77,39,2933
Cabourg - Saint Wandrille,13,9,2007,2004,2007,2006,2641131,3669601,47,52,50,52,2,178
Montoir - Le Havre,200,37,2004,2004,2005,2005,2726281174,3482784196,470,663,526,536,514,39254
Dunkerque Ouest - Le Havre,156,53,2007,2007,2008,2008,1100646138,1317176270,171,197,195,197,212,15890
Montoir - Brest,110,36,2005,2002,2001,2003,265869796,309328731,190,222,203,203,69,5263
Brest - Le Havre,64,30,2003,2004,2003,2002,566930708,644320701,323,336,333,334,108,8165
Montoir - Penmarc'H Point,3,3,2009,2009,2017,2017,190082919,144571963,116,555,1185,1065,12,817
Penmarc'H Point - Brest,7,4,2001,2005,2005,2002,23498727,27185110,81,251,136,176,18,1362
Le Havre - Clazay,2,2,2003,2003,2001,2001,16662665,21018530,413,413,407,408,4,282
Clazay - Montoir,11,10,2006,2006,2007,2007,57376261,62366489,140,138,168,140,11,753
Port De Goulee - Cussac Fort- Edoc,3,3,2010,2010,2011,2011,11063898,16334377,728,618,605,642,4,284
La Pallice - Le Verdon-Sur-Mer,43,14,2004,2002,2007,2007,36673897,44020563,98,223,158,185,15,1134
Le Verdon-Sur-Mer - Bordeaux,14,6,2005,2004,2003,2005,7102495,4602974,66,70,62,75,6,466
Le Verdon-Sur-Mer - Bayonne,4,4,2006,2006,2007,2007,2277023,3325530,168,170,170,170,1,86
Le Legue - Montoir,1,1,2007,2007,2007,2007,1329581,1778177,324,324,324,324,1,50
La Pallice - Lavera,2,2,2008,2008,2007,2007,17060306,25199074,1719,1719,1714,1715,9,676
Grand Couronne - Barfleur,1,1,2005,2005,2005,2005,2734888,3092196,274,274,274,274,1,73
Porto Vecchio - Cargese,3,3,2003,2003,2006,2006,5414331,8835476,224,5659,340,359,38,2858
Erquy - St Nazaire,1,1,2000,2000,2000,2000,757776,1276441,253,253,253,253,1,40
Treguier - Lorient,1,1,1996,1996,1996,1996,627651,962206,221,221,221,221,0,14
Lorient - Brest,46,19,2009,2009,2010,2010,59758935,71672280,134,148,179,161,28,2097
Honfleur - Rouen,20,14,1984,1987,1982,1989,26747372,6588559,60,69,61,67,21,1610
Perros - Rogerville,1,1,2000,2000,2000,2000,421201,709495,140,140,140,140,1,59
Fos Sur Mer - Lavera,50,31,2007,2007,2007,2007,96975348,160769912,114,145,167,169,125,9582
Antibes - Cannes,1,1,2000,2000,2000,2000,361080,81600,82,82,82,82,0,31
Ajaccio - Calvi,9,6,1994,2002,1996,1998,5361345,5872145,187,185,203,215,5,371
Macinaggio - Cargese,5,5,2002,2002,2007,2008,5114822,4453070,329,425,406,442,3,205
Cargese - Bandol,2,2,2002,2002,2002,2004,4062206,2003814,623,623,603,646,2,171
Bandol - Saint Tropez,2,2,2008,2008,2014,2012,4364354,505740,107,107,94,97,1,83
Saint Tropez - Cannes,7,6,1987,1987,1986,1987,1098899,173234,41,74,57,58,3,215
Sainte-Maxime - Cannes,1,1,2000,2000,2000,2000,388146,87717,88,88,88,88,0,30
L'Ile Rousse - Cannes,2,2,1996,1996,1998,1999,4957065,1004584,687,687,737,773,2,165
Bastia - Nice,256,17,1986,1988,1989,1990,1181942244,174857563,134,275,239,242,412,31592
Cannes - Marseille,13,7,2010,2006,2011,2010,159499799,13838780,140,136,139,140,37,2894
