int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,32,15,2007,2007,2008,2008,327309507,439193652,1166,1683,1485,1453,79,6019
Service - other,9,4,1982,1995,2004,2004,29910788,15145882,377,859,1102,891,15,1114
Chemical tanker,27,7,2009,2007,2008,2008,107098624,162100100,851,788,903,905,43,3286
Service - tug,4,4,2017,2017,2017,2017,2268223,1126968,1398,1334,1581,1612,9,695
Container,98,15,2009,2010,2011,2011,1154075595,1318394672,722,612,656,641,253,19439
Bulk carrier,2,2,2012,2012,2012,2012,30323090,53409957,1067,1067,652,635,3,259
Offshore,5,3,2012,2012,2012,2012,78192792,73795473,1461,4288,4331,4707,36,2734
Liquefied gas tanker,13,1,2011,2011,2011,2011,29356546,29852647,524,524,606,606,16,1235
Ro-Ro,11,4,2003,2004,2005,2006,564193581,258561234,3798,3737,3747,3742,121,9260
Vehicle,12,1,2010,2010,2010,2010,198075167,53838730,810,810,817,817,32,2500
Other liquids tankers,1,1,1994,1994,1994,1994,45885686,59258206,3015,3015,3015,3015,12,950
Cruise,3,2,2015,2014,2014,2015,49226844,6249087,684,1019,939,963,12,881
Oil tanker,24,1,2001,2001,2001,2001,138763615,180432960,940,940,932,932,58,4447
