int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,32,15,2007,2007,2008,2008,209029254,275398565,455,1385,948,911,54,4137
Chemical tanker,27,7,2009,2007,2008,2008,113144587,170807126,809,1127,954,953,60,4594
Service - tug,4,4,2017,2017,2018,2017,1347003,631861,614,825,939,904,8,589
Container,98,15,2009,2010,2012,2011,1141506711,1287571701,556,541,649,626,213,16435
Bulk carrier,2,2,2012,2012,2012,2012,22396506,40462770,502,502,482,481,2,136
Service - other,9,4,1982,1995,2003,2000,25170837,14723702,417,747,928,866,24,1794
Ro-Ro,11,4,2003,2004,2001,2000,349138689,154478897,3779,2810,2319,2235,80,6059
Liquefied gas tanker,13,1,2011,2011,2011,2011,38161122,38806012,789,789,787,787,22,1707
Offshore,5,3,2012,2012,2011,2011,9768276,8649098,691,559,541,552,5,383
Vehicle,12,1,2010,2010,2010,2010,179587776,48813680,726,726,741,741,30,2321
Other liquids tankers,1,1,1994,1994,1994,1994,41908953,54122530,2754,2754,2754,2754,11,862
Cruise,3,2,2015,2014,2011,2012,47938941,5748648,619,823,914,886,12,949
Oil tanker,24,1,2001,2001,2001,2001,149101489,193875195,983,983,1001,1001,70,5367
