port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Papeete - Uturoa,546,17,1981,1996,1997,1985,525627557,199500951,184,156,265,252,349,26516
Papeete - Vaitape,233,33,1994,1998,1999,1998,1034021521,184426255,181,236,271,354,591,45359
Papeete - Taiohae,42,16,1997,1994,2001,1997,750693809,149981805,801,920,853,892,208,16019
Vaitape - Moerai,1,1,1990,1990,1990,1990,3243607,588961,480,480,480,480,1,84
Uturoa - Maupiti,13,2,2002,2002,2004,2003,654182,618674,56,55,60,62,5,358
Maupiti - Papeete,12,2,2004,2002,2004,2003,19764550,18835048,194,2664,1627,1794,88,6626
Papeete - Ua Huka,7,3,1981,1989,1980,1977,26629951,23239293,1056,1257,1457,1540,10,719
Ua Huka - Taiohae,19,2,1984,1996,1980,1977,3003412,2763338,68,97,68,65,1,99
Taiohae - Atuona,52,8,2006,2001,2008,2006,77344413,21216001,145,158,156,152,24,1793
Atuona - Fatu Hiva,38,5,1991,2000,1999,1992,28337646,7695335,62,108,115,77,11,869
Fatu Hiva - Papeete,22,3,1980,1994,1988,1979,110360204,58473223,814,817,926,995,41,3097
Atuona - Ua Huka,18,4,1988,1996,1984,1978,3595940,2895315,86,120,87,88,2,159
Papeete - Ua Pou,4,1,1976,1976,1976,1976,9193789,9193789,759,759,816,816,2,179
Ua Pou - Taiohae,7,2,1978,1982,1976,1976,1191841,1212507,67,110,70,70,1,39
Ua Pou - Ua Huka,1,1,1976,1976,1976,1976,139401,139401,49,49,49,49,0,2
Atuona - Papeete,8,5,1998,1998,1996,1993,85528468,27391559,1461,1913,1016,1116,30,2286
Ua Pou - Atuona,2,2,1982,1982,1978,1978,266970,293330,140,140,89,93,0,17
Taiohae - Uturoa,3,3,2003,2003,2005,2006,137174471,15290105,948,937,950,951,41,3184
Papeete - Ikitake,42,3,1980,1979,1980,1980,118042399,90029622,1272,1278,1827,1763,86,6469
Papeete - Otepa,40,7,1982,1986,1985,1984,165800975,132252784,1386,1341,1827,1871,56,4243
Taiohae - Vaitape,25,5,2010,1999,2006,2009,390399860,78741082,868,880,884,878,112,8554
Vaitape - Tupana,1,1,1997,1997,1997,1997,8294813,951935,433,433,433,433,3,221
Tupana - Uturoa,1,1,1997,1997,1997,1997,7181794,824202,375,375,375,375,3,221
Papeete - Tupana,7,3,1999,1998,1992,1993,48092625,38017641,6888,4454,4367,6128,34,2565
Tupana - Ua Huka,1,1,2003,2003,2003,2003,2914659,488703,732,732,732,732,1,107
Tupana - Otepa,2,1,1985,1985,1985,1985,3199573,2364799,591,591,591,591,1,70
Papeete - Moerai,52,1,2012,2012,2012,2012,116878141,74182247,681,681,958,958,68,5099
Papeete - Hiva Oa,6,1,2015,2015,2015,2015,56536616,16268821,822,822,822,822,15,1141
Hiva Oa - Taiohae,9,1,2015,2015,2015,2015,14246368,4099496,141,141,138,138,4,292
Fatu Hiva - Taiohae,8,1,2015,2015,2015,2015,13392044,3853658,147,147,146,146,4,277
Atuona - Hiva Oa,3,1,2015,2015,2015,2015,3930986,1131170,118,118,114,114,1,75
Hiva Oa - Fatu Hiva,3,1,2015,2015,2015,2015,2449137,704757,57,57,71,71,1,45
Hiva Oa - Ua Huka,1,1,2015,2015,2015,2015,1214325,349431,106,106,106,106,0,24
Ua Huka - Vaitape,1,1,2015,2015,2015,2015,10372676,2984813,904,904,904,904,3,239
Atuona - Uturoa,1,1,1999,1999,1999,1999,24950728,2208342,864,864,864,864,7,557
Uturoa - Tetiaroa Is,1,1,1977,1977,1977,1977,57519,138879,116,116,116,116,0,6
Tetiaroa Is - Papeete,1,1,1977,1977,1977,1977,107865,260437,217,217,217,217,0,13
