dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Offshore,648,19,2004,2006,2001,1997,134280771,128770717,245,299,221,192,265,19897
Service - tug,1132,34,2010,2010,2010,2009,327123628,283969579,133,247,186,194,281,21115
Chemical tanker,80,9,2007,2007,2007,2007,60870299,94123978,99,109,104,104,146,10954
Ro-Ro,154,4,2012,2009,2012,2012,29087076,32826358,212,159,173,173,152,11391
Service - other,21,7,2012,2012,2014,2013,4724313,1558385,239,8878,825,381,34,2560
Miscellaneous - fishing,3,2,1982,1987,1979,1983,404182,320169,224,203,188,194,1,41
Container,27,12,2007,2007,2007,2007,109230294,129848290,109,115,115,115,30,2298
Ferry-pax only,152,1,1984,1984,1984,1984,5896746,2113529,90,90,139,139,17,1269
General cargo,10,6,1997,2003,2010,2010,8397002,11296402,104,119,114,115,5,355
Oil tanker,9,9,2008,2008,2010,2010,122908451,227349922,222,205,202,201,49,3825
Bulk carrier,2,2,2010,2010,2010,2010,13965477,23891895,213,213,213,212,3,206
Ferry-RoPax,98,1,1974,1974,1974,1974,6106895,1524281,88,88,100,100,35,2647
Liquefied gas tanker,1,1,2012,2012,2012,2012,834807,1041601,116,116,116,116,1,89
