int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,146,135,2009,2009,2010,2010,6453024387,11183547103,692,1460,1424,1415,636,49279
General cargo,229,75,2005,2006,2007,2007,2653017777,3460879068,437,1342,1196,1170,519,39847
Offshore,58,43,2006,2006,2006,2004,155700405,164364700,430,1156,499,425,126,9424
Service - tug,130,49,2009,2009,2010,2009,139306293,129164171,305,1078,521,511,132,9912
Refrigerated bulk,1,1,1989,1989,1989,1989,1363919,1641853,268,268,268,268,1,110
Liquefied gas tanker,37,11,2012,2012,2008,2008,3140526487,2492419133,533,2925,3666,3270,338,21877
Chemical tanker,64,38,2007,2006,2007,2007,1293414334,2038806536,694,1499,1670,1679,336,25846
Ro-Ro,55,17,2006,2006,2007,2008,421137214,217820043,348,516,438,445,131,9947
Container,155,39,2006,2006,2006,2006,1464967874,1866394176,495,454,420,427,312,24030
Service - other,13,12,2007,2007,2008,2006,196353260,105303410,617,2166,4472,3418,40,3068
Oil tanker,120,80,2006,2010,2011,2011,37455916065,70779035460,2937,4876,4270,4364,2454,190111
Miscellaneous - fishing,8,5,1981,1986,1985,1986,12900571,10524251,973,1401,1310,1409,8,631
Ferry-pax only,5,2,1972,1976,1969,1970,3400581,513004,562,447,681,644,5,349
Vehicle,17,14,2007,2007,2007,2007,605532618,190100049,705,723,671,664,40,3068
Ferry-RoPax,1,1,1974,1974,1974,1974,52,13,0,0,0,0,0,5
