int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,132,29,2002,2003,2003,2003,1686469727,2122834251,509,752,707,702,497,38039
General cargo,34,24,2000,2002,2004,2003,340221247,494191640,1436,1425,1382,1375,88,6747
Chemical tanker,46,33,2006,2009,2008,2008,452941429,733214314,922,806,626,622,185,14076
Bulk carrier,35,19,1998,2004,2001,2001,720162761,1196665254,1680,1509,1442,1432,105,8118
Miscellaneous - fishing,14,9,1991,1994,1989,1988,12082386,10692733,662,727,502,474,11,831
Liquefied gas tanker,12,4,2011,2011,2012,2012,92626021,111706256,534,725,935,939,27,2043
Ro-Ro,11,8,2003,2004,2004,2004,692889610,338232856,1306,1281,1163,1162,82,6317
Service - other,4,4,1996,1996,1992,1991,19735070,14914554,1609,1476,1632,1621,19,1460
Refrigerated bulk,3,3,1998,1998,1998,1998,9329417,9566198,150,315,315,315,17,1306
Service - tug,6,3,1996,1996,1998,1997,2578967,1828777,1421,1677,1706,1732,10,769
Cruise,5,5,1996,1996,1997,1996,206360210,25490770,582,915,1071,1064,56,4373
Oil tanker,1,1,2005,2005,2005,2005,3419117,5670928,121,121,121,121,3,195
