int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,474,257,1996,1995,2003,2003,1401418627,1962771482,558,483,529,530,377,28729
Chemical tanker,248,110,2009,2008,2008,2008,1163847939,1783038987,593,599,600,605,459,34880
Bulk carrier,59,52,2004,2004,2008,2008,614270325,998676722,589,601,586,583,102,7862
Oil tanker,115,72,2009,2009,2008,2008,2078712779,3745887423,564,534,563,564,399,30779
Container,276,30,2002,2001,2001,2001,2502566676,3162359003,596,586,591,591,586,44874
Miscellaneous - fishing,6,5,2000,2003,1993,1991,2413326,2308642,258,412,329,277,4,281
Service - tug,9,6,1994,1996,1996,1998,554070,490975,273,212,195,199,2,158
Vehicle,20,2,1987,1996,1989,1989,103645935,35906106,630,651,622,619,19,1473
Service - other,4,4,1996,1996,2008,2003,7692818,3244827,484,1320,634,587,16,1175
Ro-Ro,68,7,1980,1988,1979,1979,610072813,414530181,567,481,566,557,167,12902
Ferry-RoPax,154,4,1990,1990,1989,1990,1902789329,705561440,574,581,576,580,414,31673
Liquefied gas tanker,18,10,2004,2002,2005,2004,68954417,78567143,616,773,748,736,54,4101
Ferry-pax only,14,2,1981,1984,1982,1982,619897,78514,160,275,344,346,11,822
