int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,474,257,1996,1995,2002,2002,1192680667,1654841772,388,519,450,447,323,24558
Container,276,30,2002,2001,2000,2000,2026721105,2584933614,568,513,479,483,425,32562
Chemical tanker,248,110,2009,2008,2007,2007,1102413909,1691766742,533,571,568,574,403,30692
Bulk carrier,59,52,2004,2004,2010,2010,1054589587,1683046836,615,983,1006,982,129,9951
Oil tanker,115,72,2009,2009,2008,2008,2476759787,4470647019,574,608,671,673,325,25059
Miscellaneous - fishing,6,5,2000,2003,2000,1998,18249085,14576330,1761,4383,2486,1748,23,1696
Service - tug,9,6,1994,1996,1995,1996,2366900,2713547,257,925,834,1101,16,1231
Vehicle,20,2,1987,1996,1987,1987,81944271,29273213,609,425,491,505,16,1225
Service - other,4,4,1996,1996,1997,1987,12908636,10183179,2661,2331,1064,1843,28,2070
Ro-Ro,68,7,1980,1988,1979,1979,608638117,413273242,562,440,564,556,179,13860
Ferry-RoPax,154,4,1990,1990,1990,1990,1857817926,689879202,569,577,563,567,423,32287
Liquefied gas tanker,18,10,2004,2002,2006,2006,76018053,87761017,666,667,824,822,40,3070
Ferry-pax only,14,2,1981,1984,1981,1981,223093,27232,129,71,124,120,2,172
