int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Hamburg,2288,1104,2005,2005,2011,2011,40333280714,47945084707,411,712,591,703,5787,438223
Papenburg,163,90,2002,2000,2006,2005,266615420,368741947,459,526,548,544,83,6206
Brake,687,494,2003,2004,2010,2010,7855003653,13564364880,442,905,1340,1437,1068,81203
Rostock,3644,765,1998,2001,2004,2005,20459088213,12929351601,159,506,241,421,4925,369808
Emden,1301,454,2002,2004,2009,2007,23427337209,9888797502,327,774,1012,878,2494,189189
Stralsund,246,150,1998,1997,2000,2000,296900284,431594978,361,421,430,433,106,7984
Bremerhaven,3860,1084,2005,2005,2008,2009,150493321946,116884187037,363,793,872,798,16267,1234132
Wilhelmshaven,992,472,2006,2006,2012,2011,44260228711,64439265755,592,1054,1147,1270,4975,376300
Glueckstadt,25,25,1989,1989,1996,1996,23839742,33197468,370,467,508,507,16,1224
Zinnowitz,26,26,1996,1996,2015,2017,539451160,926823084,506,898,3490,4895,65,5012
Altenwerder,2196,775,2008,2008,2012,2012,88661536008,112293643563,427,989,781,903,9172,697032
Wismar,828,340,1995,1997,1998,2000,1240278352,1520016338,343,427,471,438,438,32938
Eckernfoerde,82,76,1996,1996,2002,2004,389354983,404220450,394,558,678,665,117,8776
Nordenham,169,142,2004,2004,2007,2008,4031662793,6997282961,419,1091,1570,1632,532,40375
Brunsbuettel,298,221,2002,2002,2010,2010,2978731666,4518996911,409,719,1108,1181,528,39926
Vierow,180,138,1995,1996,2002,2002,162944781,240797223,256,352,407,407,70,5221
Cuxhaven,1115,324,2001,1998,2003,2004,5961540294,3560222769,325,603,422,444,1584,118896
Baltrum,140,127,2009,2009,2012,2012,8299209029,9450807284,321,1029,868,1048,597,45506
Bremen,378,198,2001,2002,2005,2007,2302513826,2540436447,434,776,799,757,600,45327
Helgoland,1418,933,2005,2005,2011,2010,30624343942,41142677737,346,787,817,899,3342,253542
Mukran,547,215,2002,2002,2000,2004,1651596551,1613810631,234,534,399,509,662,49747
Harlesiel,126,110,2004,2005,2008,2008,1508394800,1667516161,348,657,917,761,181,13703
Zingst,13,13,1982,1982,2001,2001,43395013,73372644,165,338,528,569,12,914
Beidenfleth,4,4,2003,2003,2001,2001,1467526,1744889,283,246,148,260,56,4169
Lemwerder,62,50,1999,2001,2007,2008,253841075,355943786,375,535,659,655,63,4704
Mittelsburen,421,288,2002,2003,2009,2009,4260934140,6929534632,425,831,994,1009,598,45425
Flensburg,58,50,1994,1995,2008,2001,173083179,122104687,504,540,546,547,79,5962
Mainzlar,78,43,2000,2002,2010,2011,142131364,197171327,623,1073,575,503,61,4565
Audorf,26,24,1991,1991,1993,1993,25745009,36207876,421,450,454,459,10,763
Travemunde,2891,81,1999,1999,2003,2003,25797267507,7171429216,138,397,269,279,6263,470215
Ostermoor,384,213,2006,2007,2010,2010,3963090687,6367716823,377,833,1183,1234,627,47592
Hamburg-Mitte,529,250,2004,2003,2011,2010,18237532430,10439401541,410,918,1089,941,1866,141981
Peenemunde,15,14,1982,1981,1983,1986,4309687,5439346,309,529,608,688,22,1652
Friedrichsfeld,5,4,2003,2004,2003,2003,1139813,1612454,121,118,114,114,0,28
Neuhaus,193,174,2001,2001,2005,2005,405571151,545500145,340,460,455,471,122,9209
Langeoog,142,124,2005,2006,2010,2012,8375416062,8842156762,321,1109,1011,1158,621,47402
Buetzfleth,539,213,2001,2003,2008,2008,5399780238,8911074542,396,948,1332,1520,1015,76870
Sassnitz,200,103,1997,1997,2008,2008,374742821,371337513,259,533,580,681,148,11087
Neuendorf-Hiddensee,175,61,1993,1998,2008,2008,179031240,240225112,140,366,383,424,67,5012
Spiekeroog,361,323,2006,2006,2008,2008,8991841871,7758776628,335,853,1041,932,872,66345
Lubeck,1096,246,2002,1999,2005,2005,10065796498,6959741358,555,561,617,636,2542,190877
Ellerbek,185,123,1999,2002,1999,2001,1772722282,1310377066,440,522,1097,854,470,35303
Blumenthal,75,31,1991,1992,1993,1994,70567738,105326271,350,338,359,360,19,1391
Husum,91,38,1994,1994,1995,1996,80843517,108098799,472,581,473,472,36,2688
Schwelgern,42,23,2007,2006,2008,2008,17599022,23305015,121,189,205,198,6,438
Walsum,9,7,2007,2009,2006,2006,4959309,6396129,235,260,284,268,2,135
Marlow,17,14,1995,1994,1998,1995,5316097,3865217,220,662,263,209,12,916
List Sylt,49,29,1979,1980,1989,1987,22934106,16167396,375,1015,363,368,33,2495
Hiddensee,19,18,2000,2001,1994,2001,96338771,118737506,306,600,491,416,24,1824
Eiderdeich,9,9,2003,2003,2006,2005,39594513,30889307,453,524,651,561,9,658
Kiel,216,104,1979,1993,2009,2006,909674924,583992371,225,590,497,616,334,25075
Stadersand,82,68,2000,1999,2000,1998,200179130,245721066,385,497,637,686,69,5193
Orth,8,7,1989,1993,2003,2006,3059619,4081389,259,240,184,180,2,124
Wedel,35,30,2003,2003,2005,2005,234428104,228988033,393,519,444,401,60,4509
Buesum,101,59,1987,1985,1998,1997,86546331,106056054,463,498,502,486,54,4074
Norddeich,22,22,2000,2000,2001,1998,3151647,3059873,106,297,289,455,26,1975
Neustadt,16,10,1981,1982,1989,1991,5751389,6775979,219,589,357,390,15,1123
Heiligenhafen,59,32,1982,1985,1988,1993,16688609,18262810,247,275,295,258,29,2195
Altwittenbek,29,28,1993,1994,2006,2006,46486598,64212127,355,474,502,515,19,1445
Wolgast,49,45,1995,1996,1997,1998,35694605,51717733,271,323,303,309,15,1118
Burgstaaken,18,14,1985,1986,2001,1997,14309389,11487087,313,388,324,311,6,486
Juist,35,32,1996,1996,2008,2008,174360336,176475599,259,511,429,449,36,2752
Hoernum,144,61,1989,1983,2003,2002,31844601,23734756,216,522,121,121,60,4517
