int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,7829,1661,1999,2002,2004,2004,17306200910,23515446053,375,594,591,583,4816,363057
Vehicle,2150,447,2004,2007,2007,2007,98320739280,33606089799,362,1001,1149,1146,6980,531399
Container,5805,827,2008,2009,2011,2011,203784475476,219563540182,397,599,639,638,23302,1765315
Service - other,582,245,1991,1994,1998,1999,1372582369,1352825313,282,689,986,929,853,64115
Ro-Ro,2213,106,2005,2004,2008,2008,39978246216,20335317180,558,730,721,713,7439,560257
Service - tug,620,229,1996,1997,2000,1999,142238387,102771151,295,397,439,445,388,29123
Oil tanker,515,203,2007,2007,2008,2008,24962705364,44496308624,546,1427,1351,1391,3103,235110
Bulk carrier,1438,776,2007,2010,2011,2011,82728673681,149683501730,673,2077,1975,2023,7243,553904
Cruise,583,93,1994,1995,2008,2006,16328796060,1584914716,396,456,426,419,3906,294317
Chemical tanker,2221,654,2005,2007,2008,2008,12474538897,19653286751,383,610,664,676,3697,278646
Ferry-RoPax,4239,56,1996,1997,2000,1999,28097790204,6450476736,123,1981,196,189,7044,528885
Offshore,705,210,2001,2001,2008,2008,1010178905,725494911,262,822,520,513,971,72882
Miscellaneous - fishing,618,167,1988,1988,2004,2004,543218067,373267780,366,949,1382,1306,463,34784
Ferry-pax only,127,46,1961,1972,1978,1969,34974668,7627384,272,1490,1046,668,117,8772
Refrigerated bulk,97,35,1995,1995,1997,1997,409939473,451394077,398,781,535,545,275,20726
Liquefied gas tanker,565,102,2004,2007,2007,2007,2769991188,2951960546,387,917,739,763,898,67434
Yacht,10,4,1961,1965,1956,1957,1404782,1478989,389,342,269,233,0,22
Other liquids tankers,10,2,1994,2002,2006,2005,25150663,38565129,354,365,357,368,19,1409
