int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,7831,1661,2000,2002,2005,2005,26680538561,36906624365,400,874,910,914,6140,464259
Offshore,705,210,2001,2001,2007,2006,1263568795,980002968,310,1269,651,692,1296,97326
Container,5805,827,2008,2009,2010,2010,248503375686,270971489803,413,751,779,787,29718,2258640
Vehicle,2150,447,2004,2007,2008,2007,103733313894,34468105189,403,1387,1212,1176,7073,539066
Service - other,582,245,1991,1994,1998,1999,1237720493,1178651071,317,819,889,809,873,65736
Oil tanker,515,203,2007,2007,2008,2008,17577889110,31023733252,515,933,952,970,2523,190499
Ro-Ro,2214,106,2005,2004,2007,2006,33265941467,16850891109,559,595,600,590,7278,547414
Service - tug,620,229,1996,1997,1998,1997,174695180,130477185,317,490,539,565,466,34990
Bulk carrier,1438,776,2007,2010,2011,2011,78216788916,140750024723,797,1978,1867,1902,6403,488676
Cruise,585,94,1994,1995,2008,2006,19278129672,1885973084,507,476,498,495,4282,322474
Miscellaneous - fishing,618,167,1988,1988,2002,2002,527271662,305851307,325,1208,1342,1070,528,39611
Ferry-pax only,127,46,1961,1972,1979,1974,47589015,10163161,181,3316,1423,890,156,11705
Chemical tanker,2222,655,2005,2007,2008,2008,16962994444,26813581416,418,968,903,922,4560,344492
Refrigerated bulk,97,35,1995,1995,1996,1996,405867732,442046308,359,688,530,534,230,17318
Ferry-RoPax,4241,57,1996,1997,2000,1999,28868929154,6654050200,128,1739,201,195,7154,537106
Liquefied gas tanker,566,102,2004,2007,2007,2007,3025994604,3198896670,415,883,804,825,972,72739
Yacht,10,4,1961,1965,1937,1940,15214675,5616511,388,4788,2918,884,9,643
Other liquids tankers,10,2,1994,2002,2008,2007,40493351,61210223,523,607,575,584,25,1915
