dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,15,14,2009,2009,2011,2012,29579517,40680024,151,174,170,170,13,979
Container,31,17,2005,2006,2006,2005,130975051,168737806,152,157,155,156,36,2752
Miscellaneous - fishing,124,15,1979,1981,1983,1984,161428908,182737577,969,2264,2104,2306,99,7458
Cruise,4,2,1996,1996,1996,1997,11957287,1554040,135,149,151,155,7,554
Bulk carrier,63,51,2010,2010,2010,2010,318015993,556132689,144,164,159,159,57,4435
Chemical tanker,5,4,1997,2000,1995,1994,6662483,10377321,234,242,257,261,6,484
Service - tug,56,20,2006,2005,2008,2008,201122002,171969370,974,1245,1304,1345,127,9513
Service - other,7,4,2009,2004,2014,2014,35207340,32116996,593,907,1465,1881,22,1624
Ro-Ro,13,6,2014,2013,2014,2014,124539111,54292859,134,135,136,136,13,1005
Refrigerated bulk,21,5,1985,1992,1987,1986,14919158,19915654,173,170,204,207,86,6434
Oil tanker,9,3,2006,2006,2005,2005,31150322,48945642,336,324,308,293,10,767
Offshore,26,13,2013,2013,2014,2014,114504572,107890226,489,687,917,916,69,5164
Vehicle,2,2,2011,2011,2010,2010,25491604,7809613,191,191,185,188,1,83
Liquefied gas tanker,1,1,2009,2009,2009,2009,9944932,11893057,273,273,273,273,3,267
