port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Sigrion - Agathonisi,1,1,1978,1978,1978,1978,1039419,1320981,422,422,422,422,0,29
Perama - Psara,10,9,1991,1992,2002,2003,26946678,45657845,181,239,279,274,13,968
Agioi Theodoroi - Aspropyrgos,95,29,1986,2000,1999,2000,178039440,264599104,111,469,431,419,108,8210
Aspropyrgos - Moudros,4,4,1997,1997,2004,2004,9860518,15509214,240,233,244,245,2,146
Aspropyrgos - Kea,11,9,1993,1992,1993,1993,6852136,8748858,85,135,102,92,5,403
Mesta - Sigrion,35,34,2004,2004,2008,2008,392854876,637302109,302,393,406,394,37,2880
Othoni - Skaramagas,1,1,2001,2001,2001,2001,32399436,49237821,2158,2158,2158,2158,6,467
Thessaloniki - Yerakini,16,13,1991,1991,1997,1999,10788669,15384200,127,142,174,168,3,216
Inousses - Kos,2,2,1984,1984,1984,1984,1894130,2186739,362,362,367,357,0,36
Kithira - Piraeus,1,1,1998,1998,1998,1998,511595,39563,88,88,88,88,0,14
Marathokampos Samou - Petra,1,1,1990,1990,1990,1990,1339156,1613944,270,270,270,270,0,16
Thasos - Ierissos,1,1,1971,1971,1971,1971,728668,933966,9342,9342,9342,9342,6,469
Ierissos - Keramoti,2,2,1978,1978,1971,1971,1255926,1608282,8066,8066,10047,11468,12,909
Keramoti - Thasos,24,14,1997,1995,1999,1996,12784771,8167921,1091,4473,1502,2360,64,4783
Kalamaki - Lavrio,3,3,1994,1994,1993,1994,4751415,6758919,279,542,610,576,1,73
Naxos - Aigiali,16,3,1988,1994,1988,1997,3725384,779942,293,249,505,285,5,374
Kapsalion (Kythira) - Drapetzona,2,2,1963,1963,1954,1952,371719,110127,187,187,123,120,1,50
Drapetzona - Tinos,66,7,2001,1989,2001,1999,167927100,35804648,110,756,226,271,75,5744
Tinos - Sifnos,9,7,1983,1988,1976,1983,8855553,11208575,302,501,561,855,4,289
