int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Salamina,297,255,2005,2006,2006,2006,11529117958,19882788770,673,1053,1097,1114,1081,83610
Kardamyla,50,49,2001,2002,2008,2007,2643390167,3013665537,445,940,1975,1600,274,18844
Chios,120,86,2003,2000,2009,2007,3135673458,2882287260,707,952,1269,951,511,39444
Kali Limenes,479,347,2002,2003,2008,2008,17547496996,28681533454,740,1623,1779,1792,1979,150043
Plomarion,61,59,1991,1992,2004,2003,887681138,804184545,432,640,1193,898,110,7620
Sigrion,294,280,2003,2003,2010,2010,15313955395,26374358491,721,1247,1828,1841,1304,99290
Perama,1018,688,2004,2004,2014,2013,97572911619,105168733343,667,1240,2416,2217,9543,736012
Agia Marina Grammatikou Attikis,49,41,1999,2001,2005,2007,1503682565,2415785407,1188,2061,3031,3014,185,14210
Neapoli,229,199,2003,2003,2008,2008,8680083034,14517990730,711,1217,1339,1296,827,63316
Moudros,247,212,2007,2007,2011,2011,19775693300,36280800151,915,1475,1796,1858,1415,109501
Aspropyrgos,403,201,2003,2002,2006,2006,3475067253,5368023693,586,741,718,702,1381,105603
Agioi Theodoroi,574,339,2006,2007,2008,2008,24191012194,43325228126,618,1095,1438,1488,4307,332869
Mesta,106,92,2002,2002,2008,2009,5021080367,7026045354,811,1169,1906,1861,559,43262
Psara,115,113,2003,2003,2009,2009,7699489288,14167251057,700,1388,2205,2377,632,48864
Othoni,94,93,2000,2000,2005,2006,1913919521,2305207049,563,933,1022,821,240,18479
Skiathos,11,11,1991,1991,1994,1994,27437008,40730881,717,648,750,775,6,460
Thessaloniki,737,437,2000,2000,2006,2007,8049402155,12776573143,485,844,956,1020,1566,120405
Symi,137,118,1989,1989,1989,1990,350707786,502432715,505,699,786,813,100,7596
Rethimnon,39,34,1992,1992,2003,2004,190699946,249546094,539,644,907,1018,31,2397
Kalamaki,194,157,1994,1994,2001,2002,485619041,740059634,421,567,639,644,120,9165
Kerkyra,386,111,1998,1996,2003,2002,8581991296,1135593863,477,1272,478,542,2170,167594
Inousses,80,66,1999,1997,2006,2007,576092574,902268220,449,597,534,541,105,8098
Kithira,43,43,2004,2004,2006,2007,743912039,1218564889,799,1013,1038,1066,90,6908
Mytilini,97,87,1990,1991,2007,2009,591102616,1013938505,297,653,1077,1245,96,7337
Karkinagri Ikarias,76,76,2000,2000,2008,2008,3494816560,5026240592,626,1665,2196,2057,408,31441
Keratsinion,2914,636,2005,2006,2011,2011,202299261729,187230979320,639,1434,1622,1513,18730,1448060
Piraeus,466,307,2001,2001,2009,2010,19164987237,14607118238,661,1154,1375,1427,2511,193075
Souda,63,53,1998,1999,2000,2001,2774498400,2130408766,870,1911,2064,2499,571,43648
Rio,12,12,1987,1987,1997,1997,35348984,50775863,312,461,1139,1252,11,829
Gavrio,188,175,2004,2005,2008,2009,9509641655,17003774595,1109,1479,1584,1595,804,62101
San Nicolas,86,72,1998,2000,2009,2009,1327962284,2199015024,917,1333,1892,1935,187,14363
Loutro,7,7,1998,1998,2000,2001,245238796,384302195,975,2251,2043,1967,42,3220
Sitia,46,33,1995,1994,2005,2003,687419885,544158431,678,1072,1850,1358,85,6534
Methoni,104,96,2000,2000,2008,2007,1896979277,2460701152,730,892,1068,998,220,15945
Thasos,19,19,2001,2001,2002,2003,24376201,27560588,653,4283,677,587,59,4468
Kastellorizo,70,62,1993,1993,1997,1996,675293916,1032721159,572,1272,942,1052,146,11160
Diafanion,26,26,2002,2002,2005,2005,1152441232,2094167895,521,1176,1488,1520,117,9064
Naxos,17,16,1996,1996,1999,1999,73604098,109516677,547,1042,696,690,31,2350
Monemvasia,43,42,1998,1999,2009,2009,812939891,1357931683,711,1085,1416,1478,84,6448
Kapsalion (Kythira),33,33,2002,2002,2007,2008,785677519,1325620802,870,935,944,980,75,5742
Gavdos,54,46,2004,2005,2007,2007,2297580003,3686155173,773,1421,1851,2058,243,18519
Pythagoreio,37,32,1985,1984,1990,1992,56212824,73910224,477,1200,520,504,26,1946
Kos,88,79,1989,1988,1990,1990,277667672,405325976,561,1065,1053,1080,96,7280
Tilos,58,54,1994,1994,2006,2004,930966960,1014247011,540,837,1194,1116,118,9113
Marathokampos Samou,17,17,1996,1996,1997,1998,30049348,43550414,458,444,357,340,8,592
Alonnisos,26,23,1996,1995,1997,1997,132530931,190196842,883,1174,1075,1079,37,2786
Tsingeli,29,26,1988,1988,2004,2005,149668819,224936657,716,813,1316,1397,32,2445
Petries,16,13,1995,1993,2003,2004,155252752,248780895,811,1020,1049,1064,20,1555
Tinos,14,11,1988,1988,2000,1997,234511777,148812994,1192,2041,1790,1585,45,3485
Lavrio,310,220,2000,2003,2006,2007,8016708399,12700054109,778,1199,1256,1342,1028,79187
Molyvos,226,205,2004,2003,2010,2010,10694939117,19407572214,728,1162,1646,1702,834,64455
Heraclio,27,26,1994,1995,2012,2012,897256947,621068238,533,866,1512,3000,151,9976
Faneromeni,3,3,2000,2000,2009,2009,5727314,8546785,226,324,408,397,9,648
Elevsis,58,54,1994,1994,2001,2000,161984701,224624187,523,769,764,752,65,4897
Iraklion,20,19,1997,1998,2009,2011,402782511,465654132,615,797,750,917,55,4261
Linaria,13,13,1996,1996,2001,2002,92053787,155054014,831,940,633,609,11,812
Chalki,14,14,1998,1998,2003,2002,105154427,158530345,521,743,677,720,19,1457
Perama Geras,36,36,1995,1995,1999,1999,211658381,235874412,361,1240,945,861,51,3899
Folegandros,15,14,1995,1995,2006,2003,136092033,91106008,801,843,1063,760,14,1092
