int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,1936,1099,2004,2007,2008,2008,72100903608,125956607604,780,1484,1581,1603,6699,517743
Chemical tanker,1550,604,2007,2007,2008,2008,25228281050,40164802503,624,1086,998,1002,5407,416905
General cargo,4595,1609,1993,1995,1999,2000,18402102647,25549117654,618,906,974,971,4233,322977
Ferry-RoPax,1114,159,2001,1994,2003,2003,24830130942,5097096466,508,1686,809,722,8082,620934
Liquefied gas tanker,444,147,2004,2006,2009,2008,23525098974,21552057317,798,1915,2308,2198,3406,237325
Cruise,795,113,1998,1998,2003,2002,29326705399,3080712177,529,591,645,647,7714,596948
Container,3533,555,2005,2006,2013,2012,270465608480,282121470599,605,1139,1786,1669,25610,1979458
Service - tug,243,152,1991,1995,1998,1996,195479114,186625240,419,958,1028,1126,297,22325
Oil tanker,1571,642,2007,2007,2009,2009,121156640992,225612660123,805,1532,1581,1598,12491,965634
Miscellaneous - fishing,307,220,1992,1992,1991,1991,196329784,219043867,909,6075,3064,3077,1026,77044
Vehicle,667,213,2006,2007,2007,2006,48749770547,16728132717,836,2092,1562,1625,3149,243841
Ferry-pax only,184,92,1989,1993,1990,1993,277517565,91039715,831,5367,3031,4679,521,39151
Service - other,83,52,1999,1995,2008,2012,778160729,1484895085,614,1237,723,668,188,14149
Ro-Ro,445,55,2000,1998,2003,2000,10568892097,5066600083,702,979,907,952,1986,153477
Offshore,50,33,1997,2000,2004,2002,319625350,253292422,586,1055,1250,1002,169,12727
Refrigerated bulk,29,24,1995,1995,1998,1998,232584267,251662590,610,1309,1283,1277,121,9179
Other liquids tankers,2,2,1965,1965,1973,1973,15775498,54716315,15855,15855,17805,22732,122,9194
