port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Tasiilaq - Nalunaq Gold Mine,3,3,1990,1990,2008,2005,7299051,1043494,411,427,473,464,4,299
Nalunaq Gold Mine - Narsarssuaq,6,5,2000,1998,2003,2002,5618640,1471689,152,153,153,153,3,220
Narsarssuaq - Gronnedal (Kangilinnguit),11,8,1992,1994,1996,1992,13221386,4669307,155,171,171,151,5,403
Gronnedal (Kangilinnguit) - Nuuk,31,13,1984,1991,1994,1990,21514260,7430121,256,272,280,268,18,1363
Nuuk - Illulissat (Jakobshavn),54,17,1990,1990,1990,1993,208069900,89716448,402,698,414,415,76,5788
Illulissat (Jakobshavn) - Sisimiut,127,27,1991,1990,1990,1989,168187326,34986992,188,508,237,296,90,6832
Sisimiut - Kangerlusuaq,56,14,1991,1987,1991,1988,93067319,18547316,157,159,160,157,47,3578
Sisimiut - Uummannaq Harbor,6,6,1992,1992,1995,1992,22428174,5404917,411,537,403,531,9,687
Kangerlusuaq - Aasiaat,1,1,2013,2013,2013,2013,3100511,406462,282,282,282,282,1,108
Aasiaat - Illulissat (Jakobshavn),81,16,1992,1998,2001,2001,32343485,24021789,81,266,166,174,26,1947
Illulissat (Jakobshavn) - Uummannaq Harbor,33,17,1993,1992,1994,1993,84622936,19940921,246,345,321,309,38,2877
Qeqertarsuaq - Sisimiut,14,8,1997,1997,1996,1988,21930282,4715656,165,226,185,220,10,727
Nanortalik Havn - Nuuk,35,10,2003,2002,2004,2005,86533427,55752803,372,831,419,418,52,3961
Nanortalik Havn - Sisimiut,2,2,1986,1986,1984,1982,28031999,5151636,550,550,549,548,7,530
Illulissat (Jakobshavn) - Kangerlusuaq,12,9,1986,1988,1988,1986,48594145,9798699,335,362,360,353,19,1479
Kangerlusuaq - Nuuk,17,11,1998,1993,1993,1999,47834738,23507992,236,269,256,244,20,1582
Nuuk - Sisimiut,225,35,1999,1996,1998,2000,613233826,285271754,238,1146,589,434,277,20918
Sisimiut - Maniitsoq,80,14,1999,1999,1997,1998,29364993,15015259,115,145,151,162,18,1377
Maniitsoq - Paamuit (Frederikshab),12,5,1998,2001,2001,2001,22484712,13290304,235,506,251,246,8,646
Paamuit (Frederikshab) - Nanortalik Havn,10,6,1997,1995,2001,2003,20607593,11663719,409,972,601,504,9,682
Nuuk - Paamuit (Frederikshab),89,19,1991,1992,1997,1997,81192557,45523072,163,579,189,178,52,3943
Paamuit (Frederikshab) - Narsarssuaq,40,5,1993,1997,1996,1996,67972525,42962256,193,250,200,199,21,1575
Narsarssuaq - Nuuk,26,10,1999,1999,2005,2006,89553593,60725265,334,614,479,510,36,2757
Nuuk - Maniitsoq,116,22,1995,1994,1996,1997,73109075,39854381,118,443,190,175,73,5509
Maniitsoq - Aasiaat,9,5,1994,1996,2001,2002,19953573,13111716,248,681,474,398,9,646
Nuuk - Aasiaat,79,22,1997,1993,1996,1997,266967984,183614441,332,1267,461,445,136,10329
Aasiaat - Sisimiut,80,18,1993,1998,2001,2000,103020338,73412963,139,529,212,201,41,3125
Nuuk - Pituffik (Thule Air Base),2,1,2017,2017,2017,2017,29958677,23990824,1422,1422,1422,1422,8,603
Tasiilaq - Nuuk,4,3,1984,1990,1996,2003,26803494,11148329,864,868,836,835,11,816
Nanortalik Havn - Narsarssuaq,27,13,1987,1985,1986,1990,24681649,9659511,108,182,138,118,13,974
Illulissat (Jakobshavn) - Maniitsoq,36,3,1994,1995,1994,1994,90456616,58649067,279,570,294,292,31,2353
Illulissat (Jakobshavn) - Qeqertarsuaq,24,15,1993,1989,1991,1991,11220384,2496104,71,121,76,92,9,674
Illulissat (Jakobshavn) - Nalunaq Gold Mine,1,1,1970,1970,1970,1970,306185,193844,734,734,734,734,1,39
Narsarssuaq - Maniitsoq,17,1,1994,1994,1994,1994,59663350,38825563,389,389,393,393,16,1202
Illulissat (Jakobshavn) - Narsarssuaq,6,2,1996,2001,1995,1996,35775609,24998813,710,710,739,736,11,878
Nanortalik Havn - Maniitsoq,4,1,1994,1994,1994,1994,15134129,9848443,417,417,423,423,5,350
