int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Miscellaneous - fishing,52,36,1994,1993,1998,2000,285749063,127177049,1916,2343,2514,2392,132,9910
Cruise,49,31,1990,1989,1993,1991,1120202508,144567592,1062,1023,1038,1011,336,25863
General cargo,18,9,2010,2004,2013,2012,409506507,363751793,1928,1554,2409,2437,94,7206
Bulk carrier,1,1,1982,1982,1982,1982,7439771,15943001,2225,2225,2225,2225,3,218
Container,44,4,1997,1997,1997,1996,795642848,589352823,1605,1465,1620,1614,246,18905
Refrigerated bulk,2,1,1983,1983,1983,1983,3308368,3842545,1260,1260,1260,1260,6,473
Service - other,24,13,1990,1987,1994,1993,70642165,31850938,440,788,730,722,42,3178
Oil tanker,5,2,2006,2006,2006,2006,315547469,482049307,2401,2322,2377,2377,59,4550
Vehicle,1,1,1988,1988,1988,1988,2052383195,617112322,48352,48352,48352,48352,132,10252
Chemical tanker,9,3,2007,2006,2005,2005,115099182,168853430,863,1522,2133,2251,30,2309
Ferry-RoPax,3,1,2007,2007,2007,2007,20295904,1714705,682,682,581,581,6,436
Ferry-pax only,2,2,1978,1978,1964,1964,135044,53290,435,435,59,238,3,214
Service - tug,4,4,1983,1983,1983,1983,4675009,4140083,1342,1270,1921,2010,8,622
Yacht,1,1,1974,1974,1974,1974,339340,498114,1557,1557,1557,1557,2,140
Offshore,1,1,1965,1965,1965,1965,255285,1387005,1365,1365,1365,1365,3,220
