int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Pointe A Pitre,1193,176,2003,2004,2007,2007,18178856557,17614624473,176,878,739,1222,3652,281846
Terre De Bas,70,18,1988,1987,1996,1995,115195849,13602684,125,137,142,141,46,3501
Gustavia,6,6,1988,1988,1988,1999,3822135,2004113,176,458,175,224,56,4174
Baie Mahault,6,5,1990,1987,1993,1994,3852870,637096,133,113,111,116,2,175
Le Gosier,6,5,2007,2006,2005,2004,5637757,5344162,206,342,195,160,3,228
Port Louis,1,1,2012,2012,2012,2012,228073477,431894669,1453,1453,1453,1453,8,588
Basse Terre,55,25,2006,2004,2008,2008,613603413,777696004,221,2104,1074,2092,156,12015
Folle-Anse,14,6,1996,1995,2009,2010,11815987,15818055,130,178,203,241,7,512
Marie Galante,79,6,2010,2005,2008,2008,18859227,1812982,218,402,344,355,26,1915
Trois Rivieres,3,3,1998,1998,2008,2008,49558366,56500606,270,556,800,818,8,604
Saint Francois,1,1,1972,1972,1972,1972,12502712,19896402,17990,17990,17990,17990,26,1987
