int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,134,43,2005,2007,2007,2007,969471901,1436432204,191,1063,962,960,194,14866
Vehicle,63,23,2005,2005,2006,2006,811036955,266111116,119,320,341,358,62,4816
Cruise,225,45,1999,1996,2007,2007,3361374596,318263273,143,189,256,254,791,61129
Liquefied gas tanker,24,3,2010,2007,2011,2011,43100101,43815517,382,332,474,475,29,2230
Chemical tanker,117,10,2007,2006,2006,2006,277900255,450308313,252,365,334,333,137,10390
Container,271,37,2007,2007,2007,2007,11255187775,13994663091,930,1438,1661,1657,2283,176533
Bulk carrier,8,6,2011,2011,2011,2011,64109933,87039090,198,610,608,621,11,862
Refrigerated bulk,38,12,1995,1995,1995,1995,285698184,312980856,567,734,620,622,135,10323
Service - other,3,3,2010,2010,2007,2007,22655900,12225798,856,1529,1360,1247,10,771
Oil tanker,33,7,2002,2005,2010,2011,543562466,969869088,305,987,1645,1788,82,6274
Service - tug,46,6,1974,1976,1976,1976,1648040,1068196,96,290,130,129,9,670
Ferry-pax only,134,5,2008,2000,2006,2006,51661072,5035371,181,5979,588,692,52,3895
Ro-Ro,160,3,1991,1998,2005,2003,452832904,271353671,177,1462,451,359,113,8648
Offshore,12,4,2007,2000,1983,1976,2258837,2898957,139,674,423,811,6,448
Ferry-RoPax,166,3,2006,1994,2006,2003,33041422,3683258,174,194,264,248,54,4078
