int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,18,15,2007,2007,2006,2006,1552788389,2742900191,2438,2045,2136,2153,175,13580
Service - other,22,14,1993,1992,1985,1980,571483791,398199323,2146,4454,4288,4008,125,9456
Chemical tanker,42,20,2010,2010,2010,2010,1714791430,2801864796,1617,1582,1869,1868,258,19906
Container,142,13,2002,2001,2002,2002,7193853895,8432234101,1529,2340,2491,2435,1872,144556
Offshore,16,6,2005,2004,2002,2004,102468752,84842306,637,1759,2132,1793,73,5555
General cargo,101,14,2004,2006,2008,2008,668513311,818003263,216,889,725,726,123,9349
Bulk carrier,9,4,1998,2002,2000,2000,133997586,218222201,1672,1925,1620,1675,26,2006
Cruise,2,2,1996,1996,1997,1995,287635394,36017674,2146,2146,2025,2162,65,5050
Liquefied gas tanker,9,3,2012,2012,2012,2012,75624925,80733469,2249,2027,2083,2086,39,2998
Service - tug,26,6,1972,1980,1975,1977,11319948,7571937,156,2721,1354,1748,16,1230
Vehicle,27,14,2005,2005,2003,2002,3144934541,1055249635,1370,1834,2247,2425,212,16380
Miscellaneous - fishing,11,9,2002,2000,2003,2005,45054716,49738343,5460,5459,5182,4739,60,4489
