int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,142,13,2002,2001,2001,2002,2686150960,3141436786,154,862,930,907,683,52851
Oil tanker,18,15,2007,2007,2006,2006,1524828636,2716755187,1936,1789,2098,2132,151,11670
Service - other,22,14,1993,1992,1988,1985,457463663,323298987,3254,2998,3432,3254,161,12201
Offshore,16,6,2005,2004,1997,1998,172080657,106639108,573,5918,3580,2254,127,9560
Chemical tanker,42,20,2010,2010,2010,2010,1555913453,2554796497,1305,1560,1696,1704,230,17741
Bulk carrier,9,4,1998,2002,1997,1997,102983016,160745724,1424,1142,1245,1234,18,1380
Cruise,2,2,1996,1996,2000,1998,371542659,38087255,2324,2324,2615,2287,82,6352
General cargo,101,14,2004,2006,2012,2011,1616514216,2005462778,906,1554,1753,1781,211,16187
Miscellaneous - fishing,11,9,2002,2000,2002,2004,59342634,58337560,3737,6679,6825,5558,57,4264
Service - tug,26,6,1972,1980,1984,1982,20774843,10658334,733,3765,2484,2461,60,4500
Vehicle,27,14,2005,2005,2005,2005,2743396867,816282614,1720,1912,1960,1876,196,15166
Liquefied gas tanker,9,3,2012,2012,2012,2011,70150177,74425047,2192,1571,1932,1923,51,3900
