int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,278,241,2011,2011,2012,2012,16370930665,27489467428,1174,2261,2188,2214,1621,125361
Container,1749,178,2006,2007,2006,2006,28261900568,33917982327,727,773,711,702,4991,385134
Chemical tanker,325,203,2010,2010,2011,2011,10473324645,17336089165,1112,1490,1450,1453,1803,138845
General cargo,96,72,2006,2009,2010,2010,3918772761,5841579317,1069,2164,2409,2458,481,37004
Vehicle,122,96,2008,2008,2007,2007,9498926940,3221720279,728,1380,1367,1399,592,45830
Cruise,111,48,2003,2003,2003,2003,3395109791,351350531,242,481,496,502,850,65790
Liquefied gas tanker,19,4,2010,2011,2009,2009,1044084135,1207997361,1803,1713,1919,1935,192,14786
Oil tanker,38,33,2006,2006,2006,2006,1231856173,2134689885,934,892,867,856,199,15379
Service - tug,35,5,1970,1982,1975,1972,3479682,2629929,63,897,485,446,13,980
Offshore,1,1,2005,2005,2005,2005,1833076,3103231,896,896,896,896,1,92
Refrigerated bulk,204,21,2003,1997,2004,2004,2669873331,2524145789,983,997,1004,1010,1108,84533
Miscellaneous - fishing,8,6,1988,1985,1996,1996,135289158,117752965,6194,7705,8929,9548,84,6296
Ferry-pax only,2,1,1973,1973,1973,1973,23211467,7807611,927,927,927,927,6,468
Ferry-RoPax,1,1,2007,2007,2007,2007,2212210,186899,190,190,190,190,1,49
Ro-Ro,1,1,1985,1985,1985,1985,10372781,9478173,1015,1015,1015,1015,2,163
