int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,278,241,2011,2011,2011,2011,12719990273,20987986266,1206,1749,1700,1690,1259,97294
Container,1750,179,2006,2007,2007,2007,34684236889,41627844865,819,1138,872,861,6165,475151
Chemical tanker,325,203,2010,2010,2010,2010,8706568770,14408117591,970,1547,1205,1208,1547,119044
General cargo,96,72,2006,2009,2010,2009,3501950577,5094162510,1044,2112,2153,2144,467,35839
Vehicle,122,96,2008,2008,2009,2009,9708850177,3140441402,465,1519,1397,1364,536,41516
Oil tanker,38,33,2006,2006,2006,2006,1753842262,3090430865,1117,1217,1234,1239,263,20232
Cruise,111,48,2003,2003,2003,2002,4087586705,414457611,481,610,597,592,1026,79316
Liquefied gas tanker,19,4,2010,2011,2010,2010,728349215,812933738,923,1548,1339,1302,124,9557
Service - tug,35,5,1970,1982,1973,1971,4965705,4060289,372,744,692,688,19,1420
Offshore,1,1,2005,2005,2005,2005,1871122,3167641,915,915,915,915,3,196
Refrigerated bulk,204,21,2003,1997,2001,2001,5627228095,5481580735,1807,3451,2115,2193,2164,165309
Miscellaneous - fishing,8,6,1988,1985,1998,1998,11103146,9448425,802,639,733,766,9,649
Ferry-pax only,2,1,1973,1973,1973,1973,15438207,5192930,617,617,617,617,12,917
Ferry-RoPax,1,1,2007,2007,2007,2007,2006160,169491,172,172,172,172,1,45
Ro-Ro,1,1,1985,1985,1985,1985,9559320,8734869,936,936,936,936,2,148
