int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,606,462,2009,2009,2010,2010,180779509902,348000349222,2221,3703,5498,5620,9561,740437
Chemical tanker,95,57,2009,2009,2010,2010,2525547413,4055387814,1269,1617,1468,1466,465,35857
General cargo,116,82,2005,2005,2008,2007,2261371713,3125236336,1541,2413,2510,2462,429,32815
Container,240,69,2003,2002,2004,2004,8831365112,10709140339,1192,1289,1268,1278,1408,108884
Service - tug,49,18,2013,2004,2008,2008,42110853,32369193,159,2506,1840,2030,73,5505
Ro-Ro,53,23,2005,2006,2003,2004,3001943429,1520088914,706,1031,1117,1082,362,27958
Miscellaneous - fishing,32,18,1994,1997,1988,1988,97139021,37615709,1687,2048,3005,2874,67,5014
Vehicle,41,13,2006,2005,2006,2006,1395424490,449438483,494,626,645,636,97,7517
Oil tanker,22,7,2001,2008,2010,2011,490047531,851595189,72,1484,649,684,82,6360
Refrigerated bulk,9,4,1983,1988,1991,1990,23951798,23988151,447,3641,1156,973,75,5602
Service - other,2,2,2000,2000,2000,2000,6169870,7490098,1566,1566,1479,1486,3,216
