int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,332,112,1997,2002,2007,2007,2304591519,3271319047,480,1409,1465,1468,538,41251
Liquefied gas tanker,41,4,2009,2005,2009,2009,78812642,81008933,433,444,478,478,51,3893
Bulk carrier,123,65,2004,2008,2010,2010,3745632062,5806541677,751,2355,2288,2310,449,34643
Chemical tanker,88,12,2008,2008,2008,2008,232210890,365991030,450,669,509,516,169,12820
Container,282,24,2007,2008,2009,2009,1231304310,1582678052,400,452,426,426,324,24806
Offshore,115,25,2009,2009,2013,2013,311239135,384169609,634,1118,1203,1153,244,18310
Refrigerated bulk,26,12,1998,1996,1999,1999,573550094,647506700,2312,1811,2063,2064,252,19262
Oil tanker,118,12,2004,1999,2005,2004,338437716,511204731,467,459,520,523,288,21750
Service - other,10,8,2006,2004,2002,2005,22261912,14593598,634,1283,536,642,15,1157
Service - tug,13,5,2005,2000,2006,2006,8423926,6132669,705,649,716,716,10,772
Vehicle,25,2,2003,2003,2004,2003,115184969,38007797,252,318,311,323,18,1382
