int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Vehicle,37,16,2004,2006,2006,2006,807307165,252180899,517,705,650,647,74,5720
Chemical tanker,69,55,2009,2009,2009,2009,2449361460,4039443738,1466,1527,1551,1552,482,37040
Bulk carrier,139,77,2003,2008,2009,2009,2138849472,3380543140,1017,1180,1140,1138,290,22248
General cargo,386,96,1996,1999,2004,2004,1581321801,2243427022,610,962,887,911,388,29498
Liquefied gas tanker,37,3,1997,2003,2000,2000,75414563,79707282,439,587,536,525,38,2861
Container,366,44,2006,2006,2005,2005,3494124129,4486709835,499,682,686,692,834,64146
Oil tanker,14,8,2004,2006,2004,2004,1155062209,2084653515,905,3318,5967,6369,140,10795
Cruise,121,16,2010,2006,2011,2011,15029579459,1248930263,620,648,660,651,2021,156024
Service - other,16,3,1980,1981,1972,1970,9107360,3544508,87,333,447,395,3,230
Ro-Ro,79,6,1977,1987,1977,1978,212895545,127597681,633,921,690,676,121,9164
Service - tug,19,14,1993,1990,1994,1992,6160472,4524342,807,963,1017,1058,22,1656
Offshore,2,2,1981,1981,1983,1983,1675134,2305203,597,597,634,630,10,780
Refrigerated bulk,1,1,1996,1996,1996,1996,1819332,1659317,159,159,159,159,2,128
