int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Amapala,191,131,2008,2009,2010,2010,3757405387,4553526526,250,783,529,822,451,34783
Puerto Cortes,1350,327,2007,2008,2007,2007,17076431870,22653362343,770,864,672,675,3266,250993
Omoa,44,26,2012,2010,2013,2013,1459390622,1740746159,1098,982,1033,1027,224,17229
Puerto Castillas,114,33,1995,2004,1998,2000,2603782193,3015306902,917,2002,1306,1484,590,45291
Roatan,394,58,2006,2003,2008,2008,19822545550,1993385882,296,565,531,562,3894,300263
Tela,11,10,2011,2011,2009,2009,88919845,150695292,180,266,273,273,20,1555
Trujillo,6,4,1996,1996,1995,1996,187837816,15865186,587,503,541,525,46,3597
La Ceiba,6,6,1984,1984,1991,1983,11706049,15020768,856,3055,885,4264,18,1327
Utila,1,1,2006,2006,2006,2006,4079961,5146129,628,628,628,628,1,49
Guanaja,1,1,1976,1976,1976,1976,836433,1618903,1686,1686,1686,1686,2,134
