dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Refrigerated bulk,67,17,1990,1991,1991,1992,42221791,40344381,150,204,192,191,41,3130
Miscellaneous - fishing,1679,204,1991,1994,2000,2000,3411597537,2274888033,593,1300,1611,1452,1969,148096
Chemical tanker,92,13,2004,2001,2005,2005,193463370,270592456,220,287,251,251,60,4612
General cargo,484,80,1999,2001,2001,2001,351245584,448511155,193,247,216,213,134,10224
Bulk carrier,14,5,2003,2000,2007,2007,22948177,33312725,324,232,270,267,6,496
Cruise,523,64,1991,1994,2000,1994,2394447873,304589887,176,229,217,208,789,60695
Service - other,186,9,1993,1996,2002,2000,241251490,138166972,227,1143,594,608,168,12582
Service - tug,52,4,1994,1998,1995,1991,2218395,1015175,122,299,229,198,31,2338
Ro-Ro,4,2,1981,1980,1981,1981,3095006,2968972,181,181,168,167,2,135
Ferry-pax only,27,3,1972,1978,1981,1977,19241084,2827618,1011,2027,1935,1543,38,2874
Container,161,13,2005,2007,2002,2002,458394124,545520799,179,251,264,263,152,11706
Oil tanker,154,3,1979,2001,1992,1994,13090567,12129150,119,286,187,197,65,4873
Ferry-RoPax,41,2,2000,2000,1995,1994,168177915,22068419,204,381,512,706,98,7461
