int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,561,176,2000,2003,2005,2004,2576081224,3513231628,989,1137,1079,1080,732,55757
Container,290,21,2005,2006,2005,2005,2459674459,2826432361,940,1006,819,805,698,53479
Refrigerated bulk,70,23,1989,1992,1991,1992,321979131,323095967,1167,1355,1322,1318,169,12772
Miscellaneous - fishing,393,271,1996,1994,2000,2001,1697866645,1049973155,1145,2438,2306,1992,996,74842
Bulk carrier,78,45,2006,2009,2012,2012,2131975050,3529084210,1231,1725,1763,1785,232,17740
Chemical tanker,88,29,2003,2004,2008,2008,774559462,1167068390,805,984,968,986,205,15585
Cruise,134,76,1993,1994,2001,1997,5726840381,647765807,919,1007,959,980,1320,101692
Service - tug,9,9,1993,1993,1988,1988,1152170,775874,417,515,598,638,7,537
Service - other,23,17,1996,1998,2003,2003,151384368,49497234,703,1627,2353,1664,55,4127
Offshore,4,4,2001,2001,2009,2003,10532125,9698097,1029,902,1092,1186,12,896
Oil tanker,12,9,2003,2001,2013,2013,434771361,728994146,1104,1195,2036,2070,53,4078
Ro-Ro,11,2,1981,1980,1981,1981,41350590,39652554,847,775,814,814,19,1418
Ferry-pax only,4,4,1981,1981,1990,1990,13032548,1638277,737,1116,1772,1496,7,503
Ferry-RoPax,53,4,2003,2000,2003,2003,539183712,93571744,286,1094,297,303,97,7420
Vehicle,48,1,1996,1996,1996,1996,968358245,389251544,1054,1054,1063,1063,210,16017
