int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Paradip,895,753,2009,2009,2008,2008,147980620259,273876559479,2077,2880,3690,3744,11211,867900
Chennai,987,519,2006,2007,2007,2007,63038083830,90589011141,1520,2175,1949,2097,7555,583961
Dahej,466,285,2008,2008,2011,2011,104208225516,100231878506,2146,3353,3395,3288,12508,823298
Hazira,665,547,2008,2009,2010,2010,75416535155,98254419118,2317,2535,3089,2880,8273,577412
Karaikal,129,127,2010,2010,2011,2011,8169102322,14762262150,1604,1907,1982,1975,759,58690
Krishnapatnam,661,511,2009,2009,2010,2010,70344202346,129382479647,1717,2539,2669,2765,5668,438087
New Tuticorin,812,375,2005,2008,2009,2010,19102057683,30958567102,555,1920,1358,1428,2712,208716
Vadinar,462,335,2008,2008,2007,2007,95270304279,178726209322,1563,2634,2591,2604,7522,582596
Cochin,534,289,2006,2006,2006,2007,50829326217,77027678460,1635,2395,1925,2126,4795,363894
Mumbai,1294,1013,2007,2007,2007,2007,85877780764,128174525342,1854,2272,2113,2219,10224,789259
Kandla,1173,822,2007,2008,2009,2009,77813460253,131232135804,1804,2709,2792,2921,9312,719181
Jawaharlal Nehru,1339,596,2008,2008,2009,2009,113599939173,136556626130,1511,2142,1530,1575,13562,1049329
Veraval,6,6,1997,1997,1999,1997,130322722,152547239,3867,17226,3805,3438,50,3770
Mundra,1618,902,2006,2008,2008,2009,205682227691,352527970866,1111,2500,2300,2643,16633,1287740
Gangavaram,392,351,2009,2009,2010,2010,57692204110,107653589606,2178,2856,3380,3425,4132,319865
Visakhapatnam,889,730,2008,2008,2009,2009,87769825754,154016933384,1962,2717,2928,2967,8487,656570
Mangalore,513,386,2007,2008,2008,2008,40549067910,69830666490,2027,2290,2115,2149,4177,323068
