int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Liquefied gas tanker,1217,374,2007,2007,2010,2009,178167441010,162971554196,1663,3108,3134,2988,23520,1576234
Container,4205,673,2006,2006,2007,2007,240854047189,280492472535,1128,1392,1264,1260,29429,2276276
Bulk carrier,5714,3356,2010,2010,2010,2010,620471982654,1131716774033,2274,2668,2780,2799,49620,3841785
Oil tanker,2255,1005,2006,2007,2007,2007,543302569338,1025940055300,1983,3150,3182,3210,40204,3113136
General cargo,1571,717,2004,2005,2007,2007,31965447857,43976043545,1309,2049,2074,2066,5799,445293
Chemical tanker,2651,1017,2007,2008,2009,2009,107934709412,175939686613,2068,2592,2561,2567,19586,1511144
Service - other,119,95,2003,2002,2003,2001,1006409539,998241240,633,4369,1901,1700,517,39010
Vehicle,344,209,2007,2007,2007,2007,35891569898,11889177091,1540,1948,1896,1882,2180,168857
Service - tug,450,319,2005,2005,2006,2006,628420377,552949081,716,1447,1471,1473,640,48137
Offshore,137,119,2004,2003,2006,2005,3166475577,3138292603,1406,2860,2816,2771,813,61027
Ferry-RoPax,5,5,1989,1989,1986,2000,131887486,26309891,2733,3431,3089,2183,54,4071
Cruise,57,41,2000,2000,2000,1999,3315172929,397610854,865,1056,1035,1066,757,58653
Ferry-pax only,8,7,1998,1999,2005,2004,8273509,1018577,721,2878,2954,2352,19,1411
Ro-Ro,22,13,2002,1998,2008,2007,827885683,455982270,1458,1575,1442,1451,128,9879
Refrigerated bulk,13,13,1987,1987,1988,1988,659162542,688271989,4591,5196,5413,5387,356,26991
Miscellaneous - fishing,6,5,1987,1990,1989,1988,2296298,1013604,106,415,359,292,8,567
Other liquids tankers,1,1,2007,2007,2007,2007,107430,161498,141,141,141,141,17,1260
