int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Blanglancang,57,47,2001,2005,2011,2011,5222844012,7723193487,518,1539,2168,2196,488,36244
Gilimanuk,37,28,1992,1991,1999,1998,117982795,83687568,1186,3209,767,727,427,32293
Taboneo,1085,882,2009,2009,2009,2009,103151658764,188491339608,2081,2325,2473,2484,7921,613185
Tanjung Santan,1424,1089,2009,2009,2008,2008,119393048206,214719762651,1679,2159,2325,2327,9508,733706
New Priok Port,928,378,2005,2005,2006,2007,33020761563,29004825066,631,1275,1171,1135,4356,336550
Jakarta,1698,779,2005,2006,2007,2008,51336996342,61977896665,727,1696,1248,1248,7857,601629
Tanjung Arang  (Bunyu),342,276,2007,2009,2008,2008,21158586394,38193756210,1429,2054,2013,2087,1684,130220
Jabung Batanghari Marine Terminal,178,119,2008,2007,2007,2007,3868644262,6399165830,469,1502,1573,1578,734,56654
Sekupang,573,246,2004,2006,2002,2002,2085923472,3228814945,359,1232,1627,1874,1001,75807
Pulau Baai,144,96,2007,2006,2007,2007,1962937906,3221000375,1148,1552,2066,2134,277,21201
Pulau Sambu,3718,2516,2008,2009,2010,2010,969052708476,1823612930067,2374,3097,4335,4411,56070,4337945
Nipah,1467,780,2005,2005,2008,2008,80648653245,122113951974,463,2327,2500,2504,9714,724543
Batu Ampar,1657,1016,2007,2008,2009,2009,219714958495,406083515793,1270,2913,3994,4094,14292,1103195
Dumai,1396,797,2007,2008,2009,2008,49360332778,82234543933,1141,2205,2281,2304,7983,615170
Tanjunguban,368,275,2005,2007,2008,2008,11567043509,16430562364,701,1799,2454,2375,1991,153157
Banjarmasin,109,90,2008,2008,2002,2001,223967866,348739779,848,1090,956,970,121,9169
Surabaya,1313,585,2004,2005,2006,2006,40352494894,56179052353,1150,1848,1526,1578,6343,488474
Ujung Pandang,158,96,2004,2004,2007,2007,4442808810,6342818795,1188,1915,1726,1738,722,55545
Bontang,819,577,2007,2008,2008,2008,81165450499,111945079712,1658,2130,2396,2225,7662,535109
Telukbayur,377,220,2003,2006,2006,2006,10549992906,16812185537,1490,2313,2095,2111,1655,127095
Belanak Field Terminal,150,145,2008,2008,2009,2009,12834510477,22752594482,499,1552,1566,1726,1123,86819
Makassar,73,60,2005,2004,2006,2007,1492721242,2296853315,1180,2112,1695,1694,239,18363
Balikpapan,467,366,2006,2007,2008,2008,31771852673,58137315478,1320,2095,2315,2349,3112,240009
Kotabaru,411,343,2007,2008,2008,2008,25531913678,44176284558,2113,2140,2075,2147,2393,184952
Muntok,483,402,2008,2008,2009,2009,16662902976,29066856012,982,1612,1601,1618,1652,127460
Kendawangan,68,59,2007,2008,2005,2004,5119017022,9291655616,2320,2083,2458,2491,379,29311
Suralaya,178,145,2007,2007,2007,2007,3156766211,5278161379,961,1427,1679,1732,566,43469
Ciwandan,503,318,2007,2008,2010,2010,17682941978,27405735538,1292,2263,2821,2839,2537,195264
Semarang,334,160,2002,2006,2004,2005,5371469533,7219606630,706,1648,1073,1160,983,75473
Cilegon,62,54,2004,2004,2006,2006,1241696246,2206218075,695,1223,2012,2150,253,19376
Belawan,1005,436,2003,2005,2007,2007,11883406136,18154434373,359,1139,842,911,2219,170549
Cigading,318,268,2008,2008,2011,2011,17821034510,31279611028,1527,2067,2203,2201,1588,122633
Ketapang,43,27,1999,2000,2004,2004,503406602,782367174,307,1636,1075,1399,101,7709
Batulicin,9,9,1995,1995,1993,1993,144771253,226434732,990,1442,2383,2518,20,1545
Sibolga,28,10,1993,1999,2006,2006,574233987,914214293,943,9145,6417,6893,149,11249
"Plaju, Sumatra",323,115,2006,2004,2002,2003,1198991045,1579292659,362,1767,956,937,380,28898
Tanjungbalai,341,94,2008,2008,2010,2010,1351508803,2025954381,74,773,1500,1487,251,19264
Kariangau,114,108,2007,2007,2010,2009,5331860648,9348826650,1406,1831,2403,2444,576,44456
Merak,277,149,2007,2006,2007,2007,2373120194,3518832621,770,974,1067,1110,815,62289
Bitung,162,122,2004,2005,2005,2006,4816567423,6245825284,1887,2531,2422,2252,843,62934
Gresik,767,525,2006,2007,2008,2009,27265223821,42708559525,1307,2043,1994,2051,3533,272360
Cilacap,199,159,2004,2005,2005,2005,24998025195,44751194718,1352,2106,2853,2905,1911,147747
Benoa,91,72,2003,2003,2002,2006,2310791251,1542473436,1657,5744,1537,2119,788,59990
Pare Pare,65,22,1992,2000,2004,2009,1020671980,1098088297,1127,1518,2336,2630,204,15471
Benete,47,30,2001,1998,2002,2009,911076157,1163817553,1165,6023,2872,2477,345,26153
Meulaboh,103,94,2008,2009,2009,2009,4887144609,8495502925,1200,1618,1654,1644,432,33387
Donggi,18,17,2008,2007,2009,2009,1026553959,1641635742,2211,2342,2388,2383,140,10803
Panjang,477,323,2006,2007,2009,2009,20829245032,35010139770,1056,2375,2529,2664,2426,187073
Lhokseumawe,4,4,1997,1997,2004,2005,1039229206,2000572068,1802,2177,2750,2775,41,3210
Batam Island,48,43,2006,2008,2013,2013,778760373,782846125,342,1353,2553,2269,159,11791
Kuala Tanjung,154,130,2004,2005,2007,2008,6607804127,10374413076,1185,2246,2561,2764,1059,81870
Pontianak,215,103,2007,2006,2010,2010,974314583,1551398547,385,1268,896,945,266,20143
Sungaigerong,205,91,2004,2005,2005,2005,837262864,1172726642,346,841,478,494,310,23530
Lembar,59,28,1995,1992,1998,2002,463566823,321679758,241,1079,970,752,148,11352
Kupang,38,27,2004,2005,2003,2002,217476997,311341621,401,1192,750,720,88,6696
Senipah,4,4,2008,2008,2010,2010,225013059,412232334,1409,1787,2902,2961,16,1247
Kalbut Situbondo,71,63,2009,2009,2010,2010,5340164714,6507812886,995,2072,2159,2156,661,51121
Marabahan,20,19,2010,2010,2012,2012,124064180,221894796,695,777,2014,2127,19,1434
Cirebon,47,38,2005,2005,2010,2010,205378863,261422063,724,1207,1073,1137,94,7127
Luwuk,40,16,1998,2006,1994,1995,9633867429,6931911477,2545,2597,3109,3162,941,59693
Tanjungpinang,129,77,2006,2007,2007,2007,1826589243,3093908734,299,1291,2206,2406,220,16877
Belida Marine Terminal,131,111,2006,2006,2005,2005,3916335834,6833500457,773,1365,1780,1894,452,34741
Kendari,84,76,2005,2005,2008,2008,2538747702,3887294176,1903,1950,2170,2172,363,27865
Sabang,50,49,2006,2006,2003,2002,5863923891,9465885026,753,1644,2082,2373,402,31087
Anoa Natuna Pt.,186,127,2008,2007,2006,2007,2675949985,4329531208,582,1614,1982,2115,461,35254
Merauke,12,12,2006,2006,1999,1996,83341693,123836770,857,5822,1901,2363,47,3514
Dabo,40,32,2010,2009,2012,2011,393365629,588371143,336,1214,2704,2610,82,6293
Tanjung Sekong,233,183,2005,2005,2008,2008,6848931955,11153386872,776,1529,1686,1719,1112,85499
Ranai,33,29,2009,2008,2007,2007,1096391008,1912029370,1345,1820,2313,2413,119,9159
Sorong,49,49,2005,2005,2005,2006,204620405,267118046,878,1846,871,734,207,15567
Udang Oilfield,26,24,2006,2006,2005,2005,3601779815,6687563545,1675,2113,2683,2837,248,19179
Sungai Pakning,137,106,2007,2007,2009,2009,2989428152,4508499706,1558,1943,2188,2175,566,43357
Lalang Marine Terminal,75,65,2009,2009,2009,2009,1575870655,2194612024,2176,1987,2101,2054,279,21409
Perawang,103,61,2007,2006,2007,2007,2008269689,3525149167,244,1732,2771,3468,248,19090
Durian,305,89,2006,2005,2009,2008,760140112,1150342280,70,626,1350,1464,131,10000
Tanjung Balai Karimun,233,56,2006,2007,2002,2006,28141265,22305764,86,403,611,581,48,3601
Tuban,169,129,2004,2004,2008,2008,9141443161,15978457729,807,1528,1698,1743,1271,98228
Manokwari,33,29,2004,2003,2006,2006,595605089,982319929,1650,1987,1585,1608,117,8937
Kumai,67,57,2006,2006,2005,2006,933194446,1312578499,1400,2236,1948,1926,185,14128
Amamapare,124,82,2008,2008,2010,2010,4664102068,7476762598,2205,2557,2787,2858,624,48007
Ambon,90,76,2003,2003,2003,2003,1656743505,2098963127,1605,2288,1646,1486,531,40353
Kota Baru,88,63,2009,2009,2010,2010,1503183086,2312776760,1085,1600,1497,1513,335,25657
Tarahan,154,135,2007,2008,2010,2010,11911102745,20336066105,2045,3000,3308,3342,1384,106975
Biringkassi,66,53,2003,2004,2010,2010,2557124394,4261960264,1190,2064,2588,2610,276,21340
