int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Liquefied gas tanker,1215,421,2004,2006,2006,2007,99939373210,90325873771,1560,2567,3183,3075,13542,933222
Ferry-pax only,1339,147,2002,1999,1999,1999,785788908,179659061,448,4122,752,718,1002,75224
Bulk carrier,7698,4149,2009,2009,2009,2009,867827775687,1598800774226,1906,2454,2771,2797,60912,4716245
Vehicle,390,147,2003,2003,2006,2006,27012270841,8792560497,794,2048,1621,1616,1957,151353
General cargo,3414,1300,2004,2004,2006,2006,55780796826,73913902696,1189,2102,2122,2106,9985,765551
Offshore,285,179,2006,2005,2007,2005,4547829811,6196252371,629,2290,1893,2232,1214,90577
Oil tanker,4362,1860,2006,2007,2010,2010,923268653389,1749546662113,1229,2940,4000,4076,58746,4541397
Chemical tanker,3870,1246,2007,2008,2009,2009,99626982235,161428413567,1092,2059,2027,2047,19347,1489200
Ferry-RoPax,331,200,1993,1993,1993,2001,1359294917,641474095,367,2770,1293,1790,1338,100521
Container,3428,674,2005,2006,2007,2007,103929253490,128379000771,707,1207,1106,1107,15611,1205685
Service - tug,2589,785,2008,2009,2010,2009,1263033949,1033087550,147,1280,1015,1012,1692,127223
Service - other,366,180,2005,2005,2003,2001,3377538748,3446090640,354,3030,1179,949,1167,88619
Ro-Ro,460,117,2009,2007,2000,2002,609210876,583848649,79,1502,489,501,1343,101208
Other liquids tankers,5,4,2013,2013,2011,2011,451573444,550799191,221,3826,7487,7267,81,6260
Cruise,107,51,2002,2000,2004,2003,6051413364,650896453,907,1289,823,859,1320,101975
Refrigerated bulk,43,32,1992,1992,1994,1994,716943591,738005431,2007,4256,3626,3496,529,40018
Miscellaneous - fishing,100,38,2001,1999,2002,2002,305802118,251612914,880,8968,2397,3499,363,27274
