port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Lavan - Tombak,59,47,1992,1992,2004,2004,434990926,789178827,215,602,602,612,91,7000
Lavan - Lengeh,85,37,1999,2000,2000,2000,338445141,556745457,190,395,571,572,71,5412
Lengeh - Hengam,87,58,1995,1999,2003,2002,398745005,668373250,225,353,569,589,51,3945
Hengam - Lavan,22,18,1998,1999,2008,2007,126503482,187479479,198,356,475,417,39,2987
Lengeh - Sirri,90,18,2003,2000,2003,2001,25529826,28895647,245,942,441,437,63,4766
Lengeh - Asaluyeh,14,14,1994,1994,2000,2000,229486049,354387382,752,741,940,938,23,1812
Asaluyeh - Sirri,14,13,1993,1993,1996,1997,38191110,58731260,298,382,365,367,11,828
Sirri - Kish,205,79,1999,1997,1999,1999,160437286,244318008,125,448,480,476,82,6224
Kish - Asaluyeh,68,42,1997,1999,2006,2006,283780739,500185563,214,631,436,441,92,6975
Asaluyeh - Bushehr,70,36,1999,1996,2001,2001,129389454,173325945,279,1204,385,373,71,5360
Hengam - Tombak,3,3,1996,1996,2004,2004,89254492,146953039,267,1145,1525,1475,9,704
Bandar Imam Khomeini - Hormuz,5,4,2002,2002,2003,2003,97162103,173208100,593,580,587,587,21,1630
Tombak - Bandar Khomeyni,10,7,2005,2004,2002,2002,157581600,258891142,546,720,871,869,19,1486
Bandar Khomeyni - Hengam,20,10,2007,2001,2004,2005,174440095,270851816,145,1016,1532,1522,25,1907
Asaluyeh - Jask,9,7,2006,2006,2008,2008,418577065,695343467,425,1765,1580,1555,39,2990
Jask - Queshm,29,24,2000,2000,2006,2006,530455228,873926199,324,841,754,751,81,6190
Queshm - Asaluyeh,60,34,2004,2003,2008,2008,1211588098,2065668412,331,637,554,551,150,11563
Bandar Imam Khomeini - Lengeh,2,2,1998,1998,2000,2000,33645070,58064552,575,575,588,591,3,222
Lengeh - Rajaei,42,29,1997,1996,1996,1998,65899993,77274497,248,916,635,491,62,4644
Bandar Khomeyni - Rajaei,68,26,2002,2003,2006,2006,734611176,1107219150,593,844,865,868,132,10135
Jask - Bandar Imam Khomeini,5,5,2002,2002,2001,2001,139235808,237522730,713,942,826,801,17,1337
Bandar Imam Khomeini - Chabahar,1,1,1996,1996,1996,1996,19020759,26262839,1144,1144,1144,1144,3,197
Queshm - Rajaei,124,96,2003,2003,2006,2006,862550759,1280800100,136,288,352,357,226,17209
Bandar Abbas - Chabahar,24,9,1995,1998,1996,1997,48651264,50153638,694,1744,996,877,32,2436
