dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Offshore,748,70,1991,1990,1989,1985,213795392,222429975,260,544,428,390,596,44774
Bulk carrier,261,115,2005,2004,2006,2006,6015216558,10359889360,489,548,711,700,661,51205
General cargo,764,159,1994,1994,2000,1999,2389718616,3457472282,378,598,666,672,562,42624
Chemical tanker,274,76,2001,2004,2004,2004,2226186625,3527549366,335,509,459,457,560,43116
Miscellaneous - fishing,46,9,1994,1994,1999,2000,111853934,77929756,818,2931,3107,3708,85,6410
Service - tug,1581,149,2004,2001,2002,2000,359818436,343790082,135,597,263,265,510,38284
Liquefied gas tanker,53,22,1996,1996,1998,1998,884916892,1005846974,345,473,672,677,129,9890
Container,341,34,2006,2004,2006,2006,2620189810,3367184695,414,762,601,587,578,44181
Oil tanker,893,162,1999,2002,2004,2004,27353867263,49851631504,423,541,596,593,3759,290218
Ro-Ro,793,60,2002,2007,2003,2005,204691357,277689286,162,685,302,296,835,62854
Service - other,240,26,2009,2002,1993,1992,225921596,218076761,310,1201,1717,1811,264,19854
Ferry-RoPax,57,6,1992,1993,1992,1995,50593318,25282270,208,926,312,466,65,4875
Vehicle,1,1,1983,1983,1983,1983,1825331,536262,138,138,138,138,1,40
Ferry-pax only,24,2,1992,1994,1990,1990,36690469,7662889,3196,2960,7253,7440,23,1761
Refrigerated bulk,4,2,1986,1993,1991,1990,14291001,14815707,1049,1049,685,713,36,2673
Other liquids tankers,54,1,1944,1944,1944,1944,4309145,9629621,125,125,163,163,100,7775
