int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Offshore,825,122,1996,1993,1998,1995,327235721,316026168,134,1018,339,332,668,50153
Bulk carrier,1004,518,2005,2006,2007,2007,43180079712,75493653360,573,1395,1429,1428,3904,302228
Vehicle,22,17,2003,2005,2009,2009,2791789435,920193965,626,2561,2457,2377,172,13302
Oil tanker,1822,619,2002,2005,2008,2008,287820439301,549118600280,424,2023,2782,2825,21722,1680389
Container,789,134,2002,2004,2006,2006,37928935470,42797214605,414,1078,1327,1301,4883,377758
General cargo,2797,461,1993,1995,2003,2003,12637214940,17561201094,374,905,1064,1087,2388,182094
Chemical tanker,538,242,2003,2005,2004,2004,7886849556,12459979608,389,908,847,833,1771,136204
Service - tug,1418,281,2003,2002,2005,2003,435076892,416090283,144,720,416,424,542,40680
Ro-Ro,1565,90,2008,2006,2008,2009,450504413,582814925,118,825,249,257,1758,132181
Miscellaneous - fishing,18,12,1993,1992,1994,1994,63975142,44165088,1028,4518,3496,3313,77,5748
Liquefied gas tanker,207,91,1999,2004,2003,2002,22123206290,22431117585,947,3037,3457,3288,2989,215960
Service - other,175,49,1999,2002,2000,2000,200364477,214145447,176,757,480,595,193,14553
Ferry-RoPax,219,9,1991,1997,1989,1990,207513864,57670923,160,3550,216,228,187,14044
Refrigerated bulk,46,12,2003,1998,2002,2002,491545844,493417196,480,1676,873,907,230,17496
Ferry-pax only,31,4,1992,1987,1992,1992,13662686,1277543,566,1132,777,785,18,1373
Other liquids tankers,12,2,1952,1969,1955,1952,615480,1288878,110,137,108,106,7,556
Cruise,1,1,2009,2009,2009,2009,55464066,5393367,402,402,402,402,8,614
