int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,265,211,2007,2008,2009,2008,22446747361,40230262389,793,2737,2812,2885,2145,166022
Oil tanker,1283,684,2005,2007,2009,2009,207551250568,396860581335,610,1665,1762,1773,13659,1057524
General cargo,866,229,1998,2000,2004,2006,4797950577,6382277743,485,1374,960,917,958,73165
Chemical tanker,211,95,2005,2006,2007,2007,4213675116,6838291251,600,1082,1042,1041,704,54323
Service - tug,217,81,1999,2001,1997,1996,86876565,64494969,236,885,751,736,169,12710
Container,574,92,2003,2004,2004,2004,9233528171,11172189108,457,437,481,488,1258,97126
Offshore,125,22,1997,1991,1997,1990,16777167,16704761,85,804,364,408,49,3678
Ro-Ro,136,26,1990,1999,1987,1988,489590493,335058961,432,792,720,761,175,13450
Service - other,52,17,1987,1999,1999,2000,90972946,107518186,165,733,642,697,49,3708
Liquefied gas tanker,65,21,2004,2005,2005,2003,790694715,941347380,701,1270,1336,1300,217,16636
Vehicle,29,7,1988,2002,2003,2001,860577741,316237388,465,2111,1453,1218,66,5073
Ferry-pax only,31,2,1993,1996,1993,1993,24012855,2172222,953,503,1303,1296,36,2720
Refrigerated bulk,2,2,1984,1984,1981,1981,22893649,24194816,2804,2804,2651,2594,18,1350
Other liquids tankers,1,1,2016,2016,2016,2016,321207,362569,646,646,646,646,10,741
Miscellaneous - fishing,1,1,1990,1990,1990,1990,249383,129694,371,371,371,371,0,32
