dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,432,253,2003,2004,2007,2007,505238318,765127818,207,293,329,331,146,11106
Bulk carrier,84,70,2009,2009,2010,2010,825191997,1450623352,219,303,327,329,83,6377
Chemical tanker,143,35,2004,2005,2006,2006,177625544,291349227,178,232,226,223,109,8273
Miscellaneous - fishing,643,82,1996,1997,1999,1999,260139243,179011701,343,1185,591,430,474,35602
Cruise,98,40,1996,1996,2005,2002,1184707729,116418133,183,189,205,207,307,23767
Service - other,320,22,1999,2002,2003,2002,353847649,175664641,337,422,695,601,256,19185
Container,267,17,2005,2003,2006,2006,329563619,404307836,170,162,166,166,128,9840
Service - tug,150,12,1996,1991,1997,1996,33646146,24291670,210,576,623,579,83,6239
Liquefied gas tanker,19,10,2013,2011,2015,2015,68154932,75652342,215,233,241,242,21,1586
Ferry-pax only,16,3,1989,1992,1997,1995,30185968,3434852,2640,7519,5669,5111,16,1195
Offshore,6,4,2013,2013,2013,2012,3341042,2813826,133,157,170,173,3,192
Vehicle,5,4,2012,2012,2015,2015,154392615,47220367,94,612,564,568,6,502
Oil tanker,183,8,1998,2004,1999,1999,216923854,330888937,285,244,276,272,93,7102
Ro-Ro,2,2,2001,2001,2000,2000,5945274,4131988,301,301,207,228,3,224
Ferry-RoPax,20,6,1984,1988,2003,2003,405369351,94616170,599,1150,1132,1174,104,7961
