int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,2251,792,2003,2003,2006,2007,7518158033,10874947020,654,1006,989,972,1988,150865
Miscellaneous - fishing,572,185,1998,1997,2000,2001,645762672,520484192,1151,2202,1485,1528,862,64785
Vehicle,146,35,2002,2005,2007,2006,3618243927,1148300962,595,895,696,699,285,21819
Bulk carrier,277,233,2008,2009,2010,2010,17261905548,30061927937,1747,2359,2354,2355,1641,126751
Chemical tanker,616,216,2006,2007,2008,2008,4620810913,7245679529,256,906,748,773,1215,92625
Container,1204,92,2005,2006,2010,2010,12706041230,15542315934,625,1117,1122,1143,2832,216678
Ro-Ro,1443,26,2009,2007,2011,2010,8776769204,3422864135,125,424,303,327,1527,117179
Cruise,204,72,1995,1996,2003,2000,4153168434,441467603,226,314,408,402,969,74529
Service - other,70,32,2001,2000,2008,2007,203181105,122857057,434,1733,1497,1196,164,12329
Oil tanker,136,65,2006,2008,2008,2008,5910441886,10528115003,620,1499,1694,1742,679,52271
Ferry-RoPax,1405,22,1997,1997,1998,2000,11570274891,2695252458,130,1401,351,289,2745,209834
Service - tug,39,22,1987,1994,1995,1995,13921342,10174403,284,1385,1106,960,42,3158
Liquefied gas tanker,105,27,2009,2009,2010,2010,212296125,214574693,541,609,556,572,103,7730
Ferry-pax only,3,3,1992,1992,1997,1997,1447914,134563,173,1196,542,588,5,397
Offshore,16,11,2010,2009,2012,2012,35371643,31739805,343,690,589,651,30,2299
Refrigerated bulk,5,4,1994,1993,1992,1992,42904816,46218149,993,1659,1622,1600,27,2038
