int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Drogheda,21,18,2008,2006,2009,2008,23865153,32634219,304,388,411,413,19,1422
Passage West,19,17,2003,2004,2005,2004,46147068,56135568,567,537,541,532,25,1874
Dublin,4150,547,2004,2005,2006,2007,31945304474,17662183717,131,663,466,496,7017,536722
Ringaskiddy Deepwater Terminal,341,168,2005,2004,2005,2008,5015148692,3292155050,553,585,627,631,748,57040
Skull,8,8,2001,2001,2005,2005,92784904,158071565,463,778,2381,2501,12,957
Castletown Bearhaven,250,90,1998,1996,1998,1999,218144696,143422796,1858,2387,1942,1453,467,35050
Dun Laoghaire,65,47,2003,2004,2007,2006,493098181,472700950,280,551,681,766,108,8213
Limerick,67,46,2003,2005,2003,2004,117509225,177987652,666,693,685,677,38,2899
Ford'S Wharf (Topaz Energy Terminal),375,147,2005,2003,2007,2007,1294915307,1546012816,584,544,562,558,480,36345
Greenore,156,129,2003,2003,2005,2007,895451672,1207301370,501,773,870,822,205,15563
Donegal,77,62,2003,2004,2008,2008,225447857,319221254,576,589,540,544,67,5096
Inisheer,20,19,2003,2003,2004,2005,55112855,67366703,899,977,926,910,23,1707
Rushbrooke,53,38,2002,2004,2007,2006,142896718,181475857,467,630,717,692,54,4124
Dunmore East,117,106,2004,2004,2006,2007,461956094,618595357,551,667,735,828,110,8342
Tom Roes Point Terminal/Drogheda,263,187,2003,2003,2004,2004,405516636,611680440,622,575,567,567,136,10298
Aughinish,131,97,2008,2009,2011,2012,5288244118,9547097309,1007,1667,2094,2152,471,36071
New Ross-Raheen/Roberscon,35,31,2004,2004,2005,2005,33528668,51226992,283,390,372,371,12,909
Wicklow,130,54,1993,2000,2004,2002,148317841,152419358,197,763,451,400,57,4281
Clogherhead,28,26,2001,2000,2003,2004,138699979,206845465,395,725,1014,966,37,2822
Moneypoint,115,91,2007,2007,2009,2009,3690353395,6728856435,940,1365,1871,1925,361,27621
Ballydavid,42,35,1997,1998,2007,2008,186068843,280923248,1126,1368,789,716,65,4958
New Ross,5,5,2004,2004,2003,2003,4303530,6573232,202,357,382,387,1,108
Waterford Great Island (Esb),194,135,2006,2005,2008,2008,524491579,679446866,563,560,546,581,169,12809
Esb Poolbeg-Dublin,21,14,2003,1999,2003,2003,187004084,61032613,268,547,511,502,36,2766
Howth,93,52,2001,2001,2004,2004,530194601,231832009,267,893,434,479,149,11380
Easkey/Rathlee,6,6,2004,2004,2012,2012,41979056,50727855,2302,2362,2932,3178,14,1028
Tarbert,60,52,2005,2005,2008,2009,598165816,967763300,899,1107,1381,1421,117,8900
Cork,187,132,2006,2005,2008,2009,4405902862,7517167898,609,964,1234,1255,602,45862
Foynes,141,110,2005,2006,2010,2010,746097759,1182099647,676,742,778,788,150,11459
Moville,2,1,2001,2001,2001,2001,61988134,107912787,1103,1103,1103,1103,5,378
Fenit,38,31,2006,2007,2010,2010,520396627,573990973,1261,1665,2051,1933,111,8455
Kilrush,122,104,2006,2006,2008,2008,1243991924,2012717448,767,1048,1183,1212,248,18866
Dublin-Marine Terminal,33,22,1994,1996,1994,1993,92747987,15181874,119,221,225,255,41,3102
Arklow,16,15,1997,1997,1998,1998,44686446,66460979,395,610,673,673,19,1473
Killybegs,194,107,1999,2000,1999,2001,631353454,479962157,938,1823,877,1454,441,33292
Duncannon/Saint Helens,22,20,2006,2005,2007,2007,150466831,231531795,591,754,922,959,27,2065
Stokestown/New Ross,26,24,1999,2000,2003,2003,46139429,64784625,569,655,735,724,14,1032
Glengarriff,16,15,2000,2002,2007,2009,665235839,1090777765,610,1132,1296,1373,90,6872
Bangor,7,7,1996,1996,2000,2000,148483421,150073090,798,2780,7386,7182,29,2206
Ballyhack,9,9,2004,2004,2005,2006,16878078,23659520,532,597,501,498,5,355
Kinsale,19,16,2002,2002,2005,2005,37745039,51616453,265,455,594,609,11,840
Dundalk,48,34,2001,2001,2000,2000,37027276,53821283,222,382,336,337,12,874
Passage East,12,12,2007,2007,2007,2008,29240631,41009403,671,984,689,677,13,1006
Greystones,7,6,2004,2003,2006,2006,55751000,35088786,612,626,620,618,12,888
Sligo,7,5,1991,1992,1993,1994,4649440,6038838,412,445,426,415,2,118
Cobh,72,56,1998,2000,2005,2005,1806768242,341735048,394,754,626,624,394,30166
Galway,58,49,2005,2004,2002,2006,201068064,192597537,774,1010,811,891,67,5090
Skerries,33,20,1998,2002,2001,2002,26209708,33140363,300,396,334,351,13,942
Ardmore,33,9,1996,1999,2008,2008,136667561,220380104,291,819,1570,1726,24,1879
Waterford City Quays,2,2,2004,2004,2001,2001,9784307,15080086,846,846,1101,1118,2,136
Rosslare,392,38,1998,2000,1994,1998,5342473997,1131623633,312,1178,503,486,1094,83395
Dunfanaghy,17,7,2002,2001,1991,1992,12251753,10402773,428,494,878,991,9,703
Gortahork,1,1,2017,2017,2017,2017,221081,254792,196,196,196,196,0,2
Kilmore Quay,16,14,2000,2001,2008,2008,22622408,28124350,410,598,579,551,10,778
Pontoon,8,8,1990,1990,2003,2003,247865919,393946983,1676,2147,4465,4701,43,3260
Newtonabbey,1,1,1984,1984,1984,1984,72265,67370,49,49,49,49,0,2
