dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,659,112,2004,2004,2004,2005,2030133867,2290241634,87,107,102,103,625,47945
General cargo,79,40,2000,1995,2001,2001,91473903,130908429,103,177,215,218,45,3429
Chemical tanker,39,20,2005,2006,2006,2006,71155320,111297301,108,193,200,198,121,9108
Cruise,16,13,2006,2005,2011,2010,142988175,15519326,88,150,155,157,43,3306
Bulk carrier,33,26,2011,2011,2008,2008,619999048,1205615759,133,185,351,366,70,5413
Offshore,45,10,2008,1998,2006,2006,147564476,109001569,188,650,476,434,100,7480
Vehicle,23,5,1999,1999,1999,1998,82728074,33172040,81,82,97,99,9,671
Service - other,11,4,1996,1994,2002,2003,15784279,22719723,351,333,453,472,7,551
Ro-Ro,5,1,1999,1999,1999,1999,134244950,110001417,1238,1238,3044,3044,44,3415
Liquefied gas tanker,1,1,2009,2009,2009,2009,10281265,10259244,612,612,612,612,2,188
Miscellaneous - fishing,2,1,1968,1968,1968,1968,183498,61366,150,150,150,150,0,20
Service - tug,3,1,2016,2016,2016,2016,342347,181503,200,200,246,246,2,128
Oil tanker,3,1,2004,2004,2004,2004,6857877,10829350,90,90,90,90,11,876
