int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,1484,219,2004,2006,2008,2008,101627236841,109977358021,593,1919,1780,1750,12992,1004997
Bulk carrier,683,354,2004,2008,2010,2010,34286143831,62223938037,741,1932,2329,2418,3087,238305
Chemical tanker,382,133,2007,2007,2006,2007,4420909365,7237645078,671,1286,1129,1163,1123,86194
General cargo,1330,438,1994,1998,1999,1999,6874848291,7891411608,559,1003,1052,890,1707,130432
Oil tanker,169,46,2008,2009,2010,2010,6638458677,12359220063,311,1411,1411,1483,807,62249
Vehicle,190,40,2002,2003,2002,2001,12810963407,4383951782,676,2139,1553,1542,876,67849
Refrigerated bulk,3,3,1993,1993,1993,1993,18407602,21083205,874,759,762,772,17,1270
Service - other,36,12,1987,1987,1982,1982,187532467,248712624,179,155,1500,1362,55,4234
Offshore,87,23,2006,2005,2004,2005,1524266216,1262763803,207,1297,1918,1690,191,14572
Service - tug,26,16,1992,1992,1997,1998,9107169,9805933,472,640,415,410,17,1265
Cruise,109,29,1987,2001,1997,1994,1875836284,243696664,400,659,644,599,625,48346
Liquefied gas tanker,47,27,2007,2007,2007,2006,5989448096,5132060571,1099,2657,4084,3863,828,52513
Ro-Ro,114,9,1984,1997,2000,2000,916115797,575527202,237,2051,455,479,211,16206
Miscellaneous - fishing,2,1,1968,1968,1968,1968,235335,78702,193,193,193,193,1,53
Ferry-RoPax,4,2,2001,2001,1997,1996,79519545,29520772,1476,2380,2664,3060,26,1955
