dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,576,303,2007,2008,2010,2010,8153547128,13911718586,448,605,663,664,961,74217
Container,4503,464,2004,2005,2007,2007,44538658568,51293634075,148,233,251,252,6292,485564
Oil tanker,548,219,2007,2008,2007,2007,10420459694,19048583023,260,457,439,438,1963,151091
Vehicle,478,83,2004,2006,2006,2005,6580966780,2243286077,221,282,304,300,504,39002
Ro-Ro,5114,79,2005,2005,2006,2005,45866688170,20566028005,297,345,348,346,8909,690057
Liquefied gas tanker,538,52,2006,2009,2007,2007,4363141859,4572098478,471,638,941,894,1081,78234
Service - other,290,46,1993,1993,2000,1999,405387009,244268566,365,779,952,847,388,29142
Chemical tanker,4093,388,2003,2007,2005,2006,26654453173,41473501347,385,536,538,541,8290,637409
General cargo,3109,867,2001,2001,2005,2005,8241625414,11903960788,293,410,448,450,2106,160671
Service - tug,1270,140,2000,2000,2004,2003,705223594,499185727,393,584,661,673,1572,118057
Ferry-RoPax,13444,153,1994,1988,1997,1997,100086031485,21104987800,203,1399,282,316,28143,2155643
Ferry-pax only,3115,95,1995,1993,1995,1999,1933394211,467438883,797,2683,1889,1969,3127,234798
Cruise,2477,131,2002,2001,2009,2008,38095747382,3547340318,180,206,224,224,9171,709492
Other liquids tankers,691,10,1967,1971,1972,1972,319818353,479805703,209,422,427,419,701,53939
Refrigerated bulk,4,4,1998,1998,1990,1990,5455815,6409388,132,176,149,153,8,583
Offshore,481,50,1995,2000,2002,2000,322611211,337544769,388,752,560,589,761,57148
Miscellaneous - fishing,172,19,1988,1992,1990,1994,39960412,46041611,547,1970,1275,1495,177,13318
