int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Santa Panagia,302,235,2006,2006,2008,2008,14592077936,26411330545,819,1191,1332,1356,1694,130823
Ravenna,1237,715,2003,2004,2007,2007,24432813384,37858902772,1102,1594,1600,1708,3587,275694
Civitavecchia,601,198,2008,2007,2009,2010,21776507316,15651846460,460,1397,636,1614,3487,269377
Gioia Tauro,773,244,2003,2005,2007,2006,53689094003,58410210670,766,1211,1298,1329,6196,478732
Livorno,1809,776,2003,2005,2007,2007,63315315510,43780355505,529,1324,1157,1406,7760,588557
Villafranca Tirrena,235,210,2003,2004,2008,2007,11282928539,16096740299,760,1208,1412,1269,1217,92745
Siracusa,234,197,2003,2005,2009,2009,10051017540,18054919336,755,1171,1475,1572,1039,80252
Gela,19,18,2001,2000,2004,2004,156733780,260090061,520,636,614,608,32,2445
Augusta,653,367,2006,2007,2009,2009,15946717093,26291792587,858,1335,1437,1464,3311,254874
Savona,889,324,2001,2004,2007,2007,17171372591,11465504459,381,1189,619,1059,2615,201799
Salerno,205,109,2005,2004,2008,2010,12858784215,14379956421,1041,1543,1765,2033,1616,124850
Cetara,327,128,2003,2004,2005,2007,12801172349,11563740085,1027,1487,1301,1408,1603,123833
Cagliari,542,231,2004,2003,2006,2006,13461530937,11716079674,452,844,676,812,2216,171036
Genova,2182,533,2001,2005,2006,2006,42321354420,34375332003,446,1119,588,862,7566,583253
Muggia,453,271,2009,2009,2010,2010,55140735425,102823522380,1136,2334,2030,2040,6220,481479
Monopoli,20,18,2000,2000,2006,2007,240430404,422505814,863,969,1302,1365,36,2783
Porto Di Corsini,347,259,2002,2003,2005,2006,4845765488,6861460121,1086,1445,1303,1435,973,74623
Ognina,69,57,2001,2003,2009,2010,1323924595,2199280252,737,1116,1306,1414,194,14894
Chioggia,273,127,1986,1995,1999,1999,651600776,839210259,665,967,906,881,206,15656
Bari,738,146,1997,2003,2003,2009,8956756166,6744926294,313,1413,544,1156,1797,138374
Pozzillo,5,5,1998,1998,1995,1996,39611951,18318368,643,484,544,415,10,769
Sarroch,583,336,2007,2008,2007,2007,26442136239,47712547475,741,1301,1553,1624,4065,314285
Milazzo,305,237,2005,2006,2009,2009,21163488693,38655932592,822,1792,2005,2063,2995,231492
Piombino,293,148,2001,2004,2004,2007,1680363208,2134943106,317,1204,831,1038,411,31341
La Spezia,675,268,2006,2006,2010,2010,29183791128,30876483154,550,891,728,864,2989,230928
Serrano,106,89,1996,1997,2005,2006,2527720429,3704004486,673,1261,1442,1789,347,26749
Camogli,5,5,2010,2010,2012,2012,258617048,409771524,583,1844,1503,1774,32,2487
Pantelleria,67,62,1998,1999,2005,2007,2155743547,2902326142,869,1358,1447,1463,276,20329
Porto Ercole,6,6,1998,1998,2001,2003,19037442,18740240,253,706,613,888,6,421
Vulcano,8,8,1999,1999,2002,2000,663081001,672842274,678,2118,3382,3158,81,6213
Molfetta,25,22,1998,1999,2004,2003,99326692,142001672,1302,1340,1275,1300,26,1992
Scauri Alto,22,22,1998,1998,2008,2010,397309042,657761354,678,1016,808,766,48,3671
Taranto,357,302,2006,2006,2009,2009,25216846186,47622417085,976,1702,2663,2786,2404,185651
Pozzallo,282,173,1998,1999,2006,2006,3479052647,4136529020,597,1012,1495,1379,748,56828
Oristano,119,96,2002,2002,2010,2010,1065590786,1672835980,666,1127,1556,1670,175,13419
Porto Nogaro,150,121,1999,1999,2003,2003,461959722,646172732,896,802,838,833,141,10691
Porto Torres,351,80,2003,2004,2006,2009,8532063882,5942343802,292,1168,613,1569,1652,127441
San Cataldo,246,108,2000,2000,2005,2007,5342425622,4636241564,639,2077,1290,2208,1053,81147
Pier Isab,26,24,2004,2004,2006,2006,335132377,514128306,666,920,1018,1022,83,6398
Priolo Gargallo,41,31,1997,2001,2005,2005,674074458,1169827407,785,1089,1437,1530,108,8256
Porto Santo Stefano,6,6,1990,1990,2007,2007,16067547,15755584,748,1215,720,750,17,1265
Ancona,535,98,1996,2003,2004,2008,11427841420,6777316632,516,1300,796,1080,3202,247133
Fusina,354,69,2005,2007,2007,2010,13625583866,7226663816,716,1513,1095,1488,2799,216398
Mili Marina,11,9,2000,2001,2000,2000,257596313,108546215,1024,979,1099,1035,55,4261
Catania,217,88,2000,1999,2002,2002,1005654608,627324079,165,608,304,354,280,21430
Giardini Naxos,23,16,1999,2001,2004,2002,333497676,72940337,358,760,570,676,85,6533
Santa Maria Di Castellabate,16,15,2000,2000,2000,2001,171823157,178453159,1000,1160,913,939,39,2987
Avola,31,28,2001,2001,2005,2006,328449846,464802211,456,867,951,1111,62,4793
Crotone,32,30,2000,2001,2004,2007,354312224,467184503,1222,1654,1800,1658,84,6450
Trieste,1093,199,2006,2002,2009,2009,45700044733,32159913445,1140,1181,1150,1178,7179,555664
Napoli,700,358,2003,2002,2006,2008,19762594879,15399915765,661,1642,808,1033,3687,283991
