int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Santa Panagia,303,234,2006,2006,2008,2008,14808786122,26941640349,724,1256,1385,1422,1721,133077
Ravenna,1170,687,2004,2005,2006,2006,16759708892,25821955453,966,1127,1161,1207,2343,180209
Venezia,1422,578,2003,2004,2006,2007,34301693215,28218188014,830,1312,792,1049,6416,495602
Voltri,443,172,2008,2007,2008,2008,23726561848,25703812459,374,753,579,584,2433,188258
Gioia Tauro,773,221,2004,2005,2008,2007,55019061184,54756237550,767,1485,1409,1333,5994,463488
Villafranca Tirrena,241,217,2004,2004,2007,2007,9012991480,13645397606,690,1006,1093,1050,1140,87266
Taranto,418,339,2007,2007,2010,2010,14984994700,27254874988,1061,1475,1549,1559,1457,112222
Siracusa,251,206,2003,2004,2009,2009,8915821162,16078811244,740,1053,1231,1297,1150,88814
Livorno,1692,713,2002,2005,2006,2006,44431780961,28654701033,527,997,742,993,5951,453677
Augusta,705,392,2006,2006,2009,2009,14412197613,22989691138,821,1362,1286,1266,2712,208672
Savona,905,261,2002,2004,2007,2006,17829294915,8618484246,370,1138,578,854,2446,189076
"Saline, Reggio Calabria",32,25,2003,2002,2006,2005,266579079,223896883,457,840,490,525,53,4089
Capri,18,18,1996,1996,2004,2010,211951901,118884847,3013,9700,1520,1009,110,8322
Cetara,291,116,2004,2005,2006,2007,10130443867,7234886148,762,1052,1142,1224,1207,93207
Cagliari,486,222,2005,2003,2007,2006,10721434276,7419516526,691,1045,630,918,1944,150219
Genova,2308,554,2001,2005,2005,2006,46562456875,39033018864,461,923,647,805,8148,628739
Muggia,446,256,2009,2009,2009,2009,32214304525,59750479162,1093,1191,1199,1199,2478,191938
Porto Di Corsini,346,265,2002,2004,2004,2005,3706369849,5193058171,868,942,952,1051,853,65425
Ognina,65,54,1999,2001,2007,2007,873303575,1323776810,712,1027,821,795,189,14559
Mili Marina,14,14,1997,1997,1997,1998,117447776,67490505,712,712,679,695,31,2366
Bova Marina,55,44,2001,2001,2005,2005,619539443,639844357,496,817,680,685,93,7186
Napoli,650,309,2005,2003,2010,2007,16912337811,11551020421,757,892,832,1032,3219,248229
Sarroch,581,339,2007,2008,2008,2008,18689864909,32117433003,760,1291,1092,1090,2633,203401
Ponza,14,12,1994,1995,2006,2007,219052831,166908975,923,2551,1708,1580,67,5083
Piombino,284,148,2000,2002,1998,2003,1478532614,1591917768,346,1081,732,798,398,30355
Amalfi,120,64,2003,2002,2005,2005,3515561299,2063755637,783,2896,986,1062,529,40686
Serrano,108,93,1998,1998,2005,2005,1631697965,2149164983,704,885,919,951,263,20198
Sestri Ponente,382,309,2007,2007,2009,2009,13835910179,24186703074,816,1111,1231,1258,1609,124236
Pantelleria,64,60,1999,1999,2004,2005,1516839028,2031078835,695,1018,1028,1021,219,16284
Porto Ponte Romano,46,44,1999,1999,2001,2001,219290409,315469171,715,1140,867,924,58,4378
Milazzo,276,206,2004,2005,2009,2009,7528995872,13074157805,781,1260,1016,1013,1190,91616
Molfetta,27,23,1997,1999,2001,2001,62845508,89811825,733,889,843,860,17,1248
La Spezia,617,246,2007,2006,2010,2010,21228834895,23452607603,398,736,669,713,2662,205341
Porto Santo Stefano,9,9,2001,2001,2004,2003,94450911,77801827,1175,6869,1187,1936,74,5604
Priolo Gargallo,40,30,1997,2002,2005,2006,368429607,571481564,897,1282,1038,997,123,9457
Scauri Alto,20,20,1998,1998,2007,2009,102315906,163881000,346,513,277,260,24,1840
Portovesme,66,54,2003,2003,2008,2008,820731286,1422192203,736,985,1058,1068,106,8108
Pozzallo,260,155,1998,2000,2006,2006,2786633002,3411541002,675,1084,1264,1182,581,44239
Oristano,140,111,2002,2002,2007,2007,808157018,1239550485,697,911,828,846,148,11258
Crotone,39,38,2003,2003,2008,2007,321651897,403770549,708,1101,959,1100,129,9814
Salerno,231,127,2005,2005,2007,2008,9839053712,8489703811,945,945,1137,1204,1153,89040
San Cataldo,244,109,1999,1999,2003,2006,3231429207,2631746242,607,1095,791,1165,746,57423
Chioggia,267,135,1986,1997,1996,1996,557088614,760919815,656,962,807,835,193,14653
Pier Isab,34,32,2004,2004,2008,2009,473599599,774178677,743,885,917,930,86,6613
Palmi,21,18,2003,2002,2006,2005,536848796,567938926,701,767,952,911,79,6044
Pianosa,7,7,1997,1997,2003,2004,56542708,79086121,356,551,492,792,10,781
Fusina,347,65,2005,2007,2006,2008,12011230236,4876690109,709,1208,984,1009,2801,216446
Marina Di Ragusa,33,31,2004,2004,2007,2006,721908791,1033770843,1037,1378,1590,1681,120,9242
Brindisi,445,181,1997,2003,2005,2009,6292708297,6495073501,498,1298,746,1120,1272,97773
Taormina,18,12,1993,1992,1996,1997,237690877,80549062,551,691,724,966,57,4414
Torre Faro,43,38,2002,2002,2005,2006,945068029,645672951,579,1503,851,875,211,16177
Catania,185,83,1998,1998,2000,2001,942143430,577092750,214,615,331,416,298,22773
Porto Nogaro,218,154,1997,1998,1998,1997,909845882,1307213748,1025,1002,1041,1049,239,18199
Termini Imerese,65,52,1995,1996,1996,1998,374950900,267315919,602,778,792,837,81,6196
Ortona,113,96,1997,1998,2001,2003,780198891,1064955821,965,1195,1092,1072,213,16195
Alghero,19,15,1999,1999,2007,2006,206294523,29129654,326,410,476,491,45,3481
Porto Venere,28,26,2004,2004,2003,2003,307803402,369364222,648,641,687,967,59,4497
Trieste,1115,196,2006,2003,2008,2009,41135122704,24242396710,1185,840,997,859,6678,517020
Reggio,16,16,1995,1995,1999,2002,157129129,38795091,644,4920,727,639,70,5276
Torre Cesarea,14,12,2007,2007,2008,2008,272474193,401632218,934,1258,1211,1183,43,3342
Ancona,558,104,1997,2003,2004,2008,11476212499,6973984821,524,906,758,924,2860,220719
Portopalo,196,164,1999,2001,2008,2008,3905787148,6666901102,675,1019,1276,1327,643,49559
Mazara Del Vallo,27,23,2000,2001,2007,2007,273878552,426603466,590,1697,1093,1176,71,5344
Porto Empedocle,70,63,2002,2002,2008,2008,849245671,1250162265,887,1246,1243,1264,155,11843
Torre Annunziata,78,64,1996,1996,2001,2001,381978372,556944701,924,1101,874,853,125,9476
Vasto,48,44,2001,2001,2007,2008,337681812,514703558,940,1214,1091,1072,80,6093
Levanzo,10,9,2004,2005,2007,2010,58463264,55112412,687,2768,625,640,39,2927
Trapani,69,51,1998,1996,1999,2000,172535718,185048886,352,637,428,433,81,6170
Porto Di Malamocco,81,72,2001,2002,2006,2008,1466114660,1801800880,727,1215,969,1106,276,21235
Panarea,18,18,1999,1999,2009,2009,916183840,625139161,701,1559,2942,1787,120,9193
Monopoli,24,23,2000,2001,2002,2003,173698666,250114851,971,1308,1378,1378,39,3000
Marina Di Carrara,137,111,2000,2002,2004,2005,1765400739,2156264689,900,1191,898,1218,293,22554
Bari,700,112,1996,2001,1994,1999,10439436075,3223937583,297,1039,577,687,2579,198609
Scilla,19,14,2003,2003,2006,2005,650767655,762089981,630,862,1448,1410,83,6414
Messina,113,59,2004,2001,2006,2007,2795806332,855906231,282,1684,364,774,681,52445
Villa San Giovanni,14,14,1996,1996,1994,1994,337035083,155250315,887,7413,3739,3038,130,9754
Portici,23,15,2008,2008,2009,2009,314809176,410959391,775,862,901,907,77,5887
Monfalcone,336,208,2002,2002,2006,2005,6909089554,7839097165,1132,1400,1064,1374,958,73814
Vibo Valentia Marina,10,8,1996,1994,2002,2002,33760563,48099838,570,1065,671,667,23,1747
Olbia,77,48,1995,1994,1998,1997,824717124,273232621,320,731,346,571,255,19626
Licata,57,47,2000,1999,2006,2007,692497141,1230379575,561,893,683,682,104,7968
Favignana,11,10,1993,1991,1994,1992,52241866,57210061,493,1698,1165,1195,24,1826
Lipari,16,15,1998,1997,1990,1973,80977281,51468029,595,3820,789,3498,70,5280
Porto San Giorgio,3,3,1989,1989,1991,1987,27330534,25389290,654,623,481,621,6,464
Piacenza,1,1,1987,1987,1987,1987,27902910,28113360,690,690,690,690,2,123
Foce Varano,38,37,1997,1996,2005,2006,338337979,417046008,1033,2580,1341,1569,122,9244
Porto Levante,72,22,2006,2006,2007,2007,32297165209,28153882682,4476,4275,4708,4703,4477,269308
Civitavecchia,549,211,2006,2006,2008,2010,20917294896,10178595375,495,1227,770,1270,3337,257961
Arenzano,2,2,2005,2005,2008,2008,172345598,183855211,725,725,791,794,10,773
Falconara,19,19,2007,2007,2008,2008,412200646,650131074,915,1666,1027,984,86,6584
Leuca,43,42,2003,2004,2008,2009,616832669,1001986998,648,838,761,768,86,6653
Otranto,34,31,1999,1999,2007,2007,401766866,619091226,713,997,948,1037,72,5473
Nettuno,1,1,2006,2006,2006,2006,1434257,2435763,727,727,727,727,0,27
Carloforte,34,31,2000,2000,2004,2007,185676766,251177028,768,1662,840,871,78,5904
Porto Torres,353,95,2003,2005,2005,2008,8175653932,4470886534,368,1232,639,1222,1735,133770
Procida,8,8,1992,1992,2004,2010,12850581,10833923,308,1403,369,234,13,977
Camogli,8,8,2007,2007,2006,2007,86884243,124292981,615,990,535,553,20,1536
Giardini Naxos,29,18,2001,2002,2004,2004,310608815,63798373,256,403,326,439,84,6478
Vado Ligure,320,115,1999,2003,2003,2005,7147467188,9941142109,563,1027,877,1104,1375,105559
Aci Trezza,34,33,2001,2001,2006,2006,539096884,542562845,725,903,713,667,117,9009
Palermo,262,65,2001,1997,2008,2003,4614459073,842223261,220,2304,410,439,1050,80683
Catanzaro,9,9,1999,1999,2015,2015,215343674,377383291,533,1090,3838,4088,16,1268
Marghera,196,164,2004,2004,2007,2007,3171793319,4886792783,1149,1268,1291,1293,586,45090
Corigliano Calabro,12,10,2006,2005,2006,2006,31085421,41219575,606,577,564,562,8,621
Gallipoli,13,11,2007,2007,2010,2010,175889481,295851084,1015,945,812,825,22,1722
Zaule,58,40,1995,1998,2004,2004,828756599,1211083930,911,1322,1507,1492,191,14699
Lampedusa,28,24,1990,1991,1999,2002,149158047,240259858,276,695,315,295,51,3887
Scoglitti,17,15,2002,2003,2002,2002,513609426,569627262,527,950,2131,1824,73,5677
La Maddalena,5,5,1978,1978,1989,1999,3805007,3591584,178,167,226,248,2,163
Sciacca,6,6,2000,2000,2000,1999,158421314,274793812,1272,1582,1847,1891,22,1682
Rapallo,58,24,1996,1999,2001,2001,292304920,32871468,132,218,206,207,90,6924
Rinella,3,3,2001,2001,2000,2005,1252585,756250,2241,1987,2004,3138,8,591
Ciro Marina,12,12,2003,2003,2003,2003,110296099,171776388,919,803,921,922,22,1673
Arbatax,12,11,2002,2000,2006,2006,61957898,70027908,1309,1061,971,1051,19,1473
Follonica,6,4,2000,2000,2000,2000,11520039,16968570,374,359,389,389,6,443
