int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,1721,632,2008,2009,2009,2009,103342378105,190394558967,884,1208,1147,1150,10109,781861
Bulk carrier,1765,979,2003,2008,2009,2009,57883882520,101786971341,1066,1349,1419,1438,5059,390843
Container,4204,700,2005,2006,2007,2007,157559250311,177783835547,617,832,837,839,19691,1521133
Chemical tanker,2629,845,2007,2008,2008,2008,43251522822,69095695949,846,1271,1100,1104,9183,707290
Vehicle,904,236,2004,2007,2007,2007,50006676793,16497936108,797,1380,1196,1180,3435,265785
Ro-Ro,2298,109,2005,2004,2008,2008,61821724627,28869661876,701,1452,937,968,10443,808586
Liquefied gas tanker,686,159,2007,2008,2008,2008,47588677986,42841453267,864,2083,2911,2778,7254,471611
Service - tug,439,184,2001,2001,2004,2004,285126467,235704939,331,1387,613,621,513,38551
Service - other,124,61,1994,1994,1996,1993,628210119,445131790,495,1740,1873,1625,319,24097
General cargo,4971,1590,1999,2001,2004,2004,31646521949,43588255824,825,1173,1198,1176,6921,529516
Ferry-RoPax,3483,182,1994,1989,1999,1998,58017296265,11195305437,333,2560,595,614,16371,1258609
Refrigerated bulk,78,25,2003,1996,2002,2002,1076654866,1165494847,1303,1811,1565,1552,518,39484
Ferry-pax only,178,100,1992,1993,1993,1995,380270519,72833053,619,9988,5725,4853,645,48435
Cruise,1795,144,2003,2000,2007,2006,59516895611,5767665230,313,400,433,443,12924,1000618
Offshore,136,70,2005,2001,2008,2008,1034232060,1494056651,539,2208,1941,2531,478,36010
Other liquids tankers,11,10,1975,1971,2000,1999,117205247,172209232,1174,2859,1773,1849,136,10470
Miscellaneous - fishing,78,38,1988,1992,1990,1992,45624185,46563602,547,3384,2469,2360,179,13458
