int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,287,200,2007,2009,2009,2008,17209274950,28601050014,1467,2740,2403,2350,1724,132794
Service - tug,51,41,1990,1993,1998,1998,35700774,27788876,1026,1108,1429,1434,86,6464
Vehicle,132,72,2006,2007,2006,2006,6140192135,2117377827,600,986,905,935,360,27751
Chemical tanker,262,174,2009,2009,2009,2009,7249101213,11988088117,1267,1415,1374,1373,1369,105122
Oil tanker,131,89,2006,2006,2007,2007,10432519956,18951006522,990,1821,1721,1707,1353,104085
General cargo,396,142,2006,2006,2009,2009,6167879590,8166342363,989,1606,1586,1573,1011,77490
Container,1363,151,2008,2007,2008,2008,74898645596,84805096766,708,1347,2054,1966,8694,671036
Liquefied gas tanker,105,42,2004,2007,2004,2005,5639336104,5146191877,1192,2210,3250,2812,1033,68354
Cruise,416,61,2007,2002,2009,2009,25829094570,2211158566,435,505,540,529,4577,353656
Service - other,9,8,2000,1999,2007,2005,50039821,34143091,812,1804,1526,1304,43,3207
Offshore,4,4,2005,2005,2013,2013,96319957,70225307,1965,2310,1708,1704,38,2876
Refrigerated bulk,8,7,1996,1995,1996,1996,255253603,281559802,4235,3346,3682,3715,124,9427
Ro-Ro,53,3,1992,2004,2003,1999,263751691,199049473,309,770,549,453,46,3526
