dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Ferry-pax only,18,4,2004,2003,2000,2000,18111924,3409365,1712,5069,6806,7809,56,4215
Bulk carrier,19,19,2009,2009,2009,2009,81115232,137543887,95,157,153,152,18,1388
General cargo,7,7,2007,2007,2007,2007,27633858,37430183,140,355,225,210,9,646
Liquefied gas tanker,6,5,2008,2006,2012,2012,41267805,46239408,259,382,409,427,9,676
Oil tanker,7,4,2006,2005,2002,2002,225369415,421485885,355,697,675,701,24,1892
Chemical tanker,3,3,2011,2011,2011,2011,4940085,8322303,70,63,62,62,2,133
Vehicle,1,1,2013,2013,2013,2013,1237999,442391,21,21,21,21,0,18
Service - tug,12,3,2009,2009,2009,2009,9306735,4199731,1746,1997,2888,2850,38,2869
Ferry-RoPax,2,2,2001,2001,2001,1997,9718310,2753886,709,709,651,571,3,220
Ro-Ro,3,2,1998,2002,2000,2002,9621973,7084397,267,228,146,131,2,132
