int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,743,167,1994,1995,1997,1997,1210878565,1504721418,380,443,496,495,355,26712
Service - tug,64,41,2005,2004,2008,2007,38788071,17804182,325,631,945,883,74,5565
Oil tanker,166,19,2005,2001,2006,2006,335591503,561395223,165,433,285,282,259,19464
Miscellaneous - fishing,2,1,1996,1996,1996,1996,503013,256252,678,678,678,678,1,88
Service - other,7,6,2009,2008,2014,2015,4742679,847952,1841,1311,1176,421,41,3086
Ferry-RoPax,126,5,1986,1985,1985,1985,568220967,196023827,263,269,394,394,154,11708
Offshore,6,5,1986,1985,1986,1985,17767063,10547768,712,2025,2864,2297,58,4328
Ro-Ro,268,7,2007,2006,2008,2007,646328815,444028108,253,218,292,292,210,16175
Bulk carrier,8,4,1980,1982,1979,1979,7591302,9666750,348,348,363,364,4,303
Chemical tanker,4,4,2006,2006,2010,2010,6442788,8981453,282,361,387,393,3,250
