int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,274,251,2010,2010,2010,2010,16360552595,28478706570,1750,2019,2033,2041,1357,105060
Container,538,118,2003,2004,2004,2004,21895955014,26424597854,343,1158,1301,1278,3340,258410
Vehicle,157,106,2008,2008,2006,2006,15529599430,5167865742,302,1799,1723,1724,994,77006
Chemical tanker,87,59,2006,2007,2005,2005,5781038578,9482679139,2743,2287,2540,2549,844,65362
General cargo,117,81,2006,2007,2006,2006,2621609850,3481788655,654,1779,1737,1696,428,32843
Oil tanker,94,74,2009,2009,2012,2012,13370615743,23374441931,2685,2939,3085,3085,1313,101673
Liquefied gas tanker,27,8,2013,2011,2015,2015,668255157,758813950,1240,1594,1822,1833,163,12442
Ro-Ro,58,9,2002,2004,2011,2012,2906649453,2617667543,369,930,1534,1544,344,26599
Service - tug,12,7,2002,2001,2007,2007,7943154,5807895,649,1473,1147,1036,23,1721
Service - other,7,7,1992,1992,1985,1985,14017079,8553666,1099,1494,1503,1710,19,1451
Ferry-RoPax,2,2,2014,2014,2014,2013,578350,351933,239,239,232,235,2,120
Offshore,6,6,1999,1999,1995,1992,6429892,6644021,1820,1732,1620,1661,35,2634
Miscellaneous - fishing,4,3,1985,1983,1980,1979,2945855,1499711,1419,1629,1831,1487,9,671
Cruise,4,3,2002,2002,2003,2003,103087311,9837729,981,846,791,788,30,2349
