port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Ventspils - Engure,53,41,1996,1999,2006,2006,219360304,354721163,402,729,887,901,42,3152
Engure - Riga,42,34,1996,1999,2009,2009,104628416,175559574,204,318,404,410,18,1321
Ventspils - Liepaja,106,62,1989,1993,2001,2004,92962377,124061831,257,708,266,270,104,7823
Mersrags - Ventspils,81,54,1994,1997,2001,2003,235014890,331901980,398,812,732,655,100,7560
Riga - Liepaja,16,14,1998,2000,2005,2006,34287285,59290568,190,274,281,279,7,518
Riga - Ventspils,86,40,1992,1997,2003,2005,146941334,233657253,183,291,266,267,70,5252
Engure - Roja,3,3,2001,2001,2010,2011,4027080,6112856,172,178,188,189,2,153
Mersrags - Riga,83,74,2001,2001,2009,2009,551991140,963774539,260,388,469,479,101,7606
Riga - Roja,63,57,1999,2000,2002,2005,596584317,739243795,219,521,769,653,116,8722
Roja - Ventspils,94,70,1996,1998,2001,2001,161315072,236355088,314,543,397,397,55,4114
Mersrags - Liepaja,8,8,1990,1990,1993,1996,5022648,6343899,333,925,290,272,9,680
Roja - Skulte,7,6,1995,1996,1995,1998,5327115,4585202,214,1917,338,217,11,835
Mersrags - Roja,12,12,2006,2006,2012,2012,214954312,382100559,463,650,866,899,19,1448
Liepaja - Skulte,4,3,1992,1992,2003,2006,8950051,9879070,3521,3954,1508,1256,23,1698
Riga - Salacgriva,3,2,2006,2003,2010,2004,886795,487408,376,428,242,106,2,144
Roja - Liepaja,8,8,1994,1994,2006,2006,18992103,27801138,411,1090,437,422,13,969
Engure - Mersrags,4,4,2004,2004,2002,2002,5866697,8262675,213,342,373,366,3,219
Ventspils - Lapmezciems,1,1,1985,1985,1985,1985,758752,1168370,492,492,492,492,0,20
Lapmezciems - Riga,3,3,1992,1992,2006,2006,7430072,13419796,285,220,273,275,3,241
Jekabpils - Karsava,1,1,2019,2019,2019,2019,22293587,21601453,147,147,147,147,0,36
Lapmezciems - Salacgriva,1,1,1984,1984,1984,1984,22848,5304,204,204,204,204,0,9
Salacgriva - Mersrags,1,1,1984,1984,1984,1984,194247,45093,1734,1734,1734,1734,1,87
Skulte - Ventspils,1,1,2013,2013,2013,2013,423156,552557,129,129,129,129,0,6
Roja - Lapmezciems,1,1,1974,1974,1974,1974,32544,38235,146,146,146,146,0,9
Engure - Skulte,1,1,2007,2007,2007,2007,535714,719040,102,102,102,102,0,20
Mersrags - Skulte,2,2,1990,1990,1988,1996,2658957,1885590,6989,6989,615,339,11,834
Engure - Marupe,1,1,1999,1999,1999,1999,1043652,1740000,348,348,348,348,0,37
Engure - Lapmezciems,1,1,1983,1983,1983,1983,538031,811249,350,350,350,350,0,14
Ventspils - Salacgriva,1,1,2000,2000,2000,2000,484734,672870,106,106,106,106,0,20
Mersrags - Lapmezciems,2,1,1992,1992,1992,1992,161439,43243,721,721,721,721,1,97
