int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,500,303,2006,2008,2010,2010,8011875856,12877470725,722,1143,1241,1267,1753,132666
Refrigerated bulk,22,19,1994,1992,1993,1993,123225163,129054880,480,939,825,825,160,11978
General cargo,2743,788,1999,2000,2002,2002,6506473195,9272256457,528,744,702,709,1948,146323
Container,239,66,2005,2005,2007,2007,2217326407,2588684556,466,617,613,611,504,37808
Bulk carrier,595,385,2009,2011,2012,2012,35138019905,62683854972,745,2181,2160,2172,3358,256057
Liquefied gas tanker,103,14,1999,2001,2002,2002,488282326,556710307,394,1143,773,767,151,11392
Oil tanker,200,87,1996,2005,2010,2010,9797405429,17665623714,385,1979,2241,2285,1320,100495
Cruise,42,23,1999,1999,2005,2004,623403360,70995039,254,353,367,363,172,12934
Service - tug,73,27,1984,1989,1990,1990,15260570,7182086,353,873,532,507,50,3759
Service - other,25,15,1985,1989,1985,1985,42181603,49091867,456,898,1042,1153,56,4174
Ferry-RoPax,1012,7,2001,1996,1999,1999,7093846935,1365547322,175,371,260,237,1404,105406
Miscellaneous - fishing,200,44,1984,1984,1984,1981,43144979,20634435,584,1932,898,738,255,19148
Ro-Ro,4,4,1996,1996,2001,2000,60078410,36826589,969,892,1003,964,12,881
Other liquids tankers,1,1,2014,2014,2014,2014,191112607,265269143,6767,6767,6767,6767,19,1486
