port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Beirut - Tripoli,97,55,1997,1994,2003,2002,260193266,361306802,79,311,153,174,72,5535
Dora - Tripoli,9,8,2003,2003,2008,2009,18111604,25678467,83,186,192,198,6,459
Zahrani - Tripoli,61,51,1999,2000,2006,2006,306805323,510382287,104,198,241,248,95,7303
Dora - Beirut,3,3,2004,2004,1999,2000,2309920,2725770,13,25,27,23,4,289
Amchit - Dora,14,12,2008,2009,2007,2007,21253833,33983475,47,69,60,61,22,1681
Zahrani - Amchit,2,2,2006,2006,2006,2006,4186459,7146007,89,89,87,89,4,285
Zahrani - Dora,13,11,2008,2007,2007,2007,24079424,38109793,57,81,86,86,17,1291
Tripoli - Chekka,2,2,1990,1990,1986,1986,274844,426546,33,33,32,33,1,52
Dbaiyeh - Dora,2,2,2002,2002,1999,1999,1518482,2236276,28,28,29,28,3,217
Chekka - Zahrani,8,7,2000,1999,2005,2004,16126210,24205187,80,144,172,173,6,443
Chekka - Dora,6,6,2005,2005,2008,2008,17029535,25772750,103,126,138,139,8,606
Dbaiyeh - Beirut,17,16,2001,2001,2000,1998,7975380,9799446,10,26,23,22,8,634
Tripoli - Dbaiyeh,2,2,2005,2005,2012,2012,1522077,2435902,51,51,55,54,2,177
Chekka - Dbaiyeh,1,1,2007,2007,2007,2007,1227660,2085021,53,53,53,53,5,379
Dbaiyeh - Zahrani,2,2,2006,2006,2006,2006,3875260,6229711,70,70,73,72,3,246
Amchit - Chekka,1,1,1998,1998,1998,1998,1867367,3115651,130,130,130,130,1,42
Beirut - Zahrani,2,2,1996,1996,1999,1997,1024562,1397860,125,125,59,67,1,76
Beirut - Beirut,12,2,2003,2006,2003,2003,103863244,131789436,1197,893,1031,1030,25,1893
Beirut - Chekka,2,2,2004,2004,2008,2008,5518884,8738651,125,125,194,193,1,59
Sayda - Tripoli,1,1,1988,1988,1988,1988,4142533,1128768,294,294,294,294,1,55
Beirut - Zouk,2,2,1996,1996,1992,1992,1748057,1954240,317,317,73,55,2,179
Beirut - Amchit,1,1,2008,2008,2008,2008,1041823,1642184,41,41,41,41,2,164
