dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,86,55,2007,2007,2006,2006,305157833,480009144,87,133,146,146,124,9628
Container,45,29,2004,2004,2008,2008,86720218,105091416,55,67,68,68,25,1873
General cargo,75,41,1987,1983,1993,1992,104013342,151686672,96,367,432,433,42,3191
Liquefied gas tanker,15,8,2006,2007,2006,2006,17132068,20116695,87,156,164,166,10,766
Bulk carrier,5,5,1992,1992,2001,2002,18331335,30657113,148,211,214,213,4,309
Ro-Ro,2,2,2011,2011,2011,2011,3989170,2820478,41,41,41,39,1,81
Oil tanker,19,15,2006,2006,2007,2007,195553840,337583554,106,228,291,298,65,5017
Vehicle,5,3,2002,1999,2002,2002,20702166,6452664,108,154,119,117,2,129
Service - other,1,1,1988,1988,1988,1988,546350,222274,74,74,74,74,0,17
Service - tug,1,1,1991,1991,1991,1991,1617803,1755502,629,629,629,629,1,109
